step	type	train_loss	val_bpb	step_ms	gravity
608	N	3.627397		11.4	
609	F	3.685430		96.5	
610	N	3.661181		10.1	
611	F	3.608522		94.8	
612	N	3.702357		9.5	
613	F	3.598154		97.5	
614	N	3.550462		10.9	
615	F	3.513179		97.2	
616	N	3.556850		10.6	
617	F	3.586631		96.3	
618	N	3.517082		10.4	
619	F	3.642195		96.3	
620	N	3.614900		9.4	
621	F	3.621168		96.9	
622	N	3.526173		10.1	
623	F	3.537855		96.2	
624	N	3.644048		10.8	
625	F	3.595544		94.6	
626	N	3.536368		10.2	
627	F	3.626804		95.1	
628	N	3.587617		11.5	
629	F	3.564964		96.3	
630	N	3.610670		11.1	
631	F	3.674777		96.2	
632	N	3.683881		9.6	
633	F	3.605803		97.1	
634	N	3.531149		10.5	
635	F	3.604023		95.5	
636	N	3.594667		11.1	
637	F	3.630439		96.5	
638	N	3.575022		12.0	
639	F	3.568842		95.5	
640	N	3.602595		11.3	
641	F	3.484840		96.1	
642	N	3.506063		11.7	
643	F	3.511728		97.1	
644	N	3.600644		10.5	
645	F	3.554675		95.5	
646	N	3.595785		11.6	
647	F	3.592375		96.0	
648	N	3.696141		11.0	
649	F	3.568673		97.3	
650	N	3.607194		11.1	
650	EVAL		2.163691		
651	F	3.493224		96.1	
652	N	3.569555		11.2	
653	F	3.633740		97.4	
654	N	3.676780		10.9	
655	F	3.568067		96.1	
656	N	3.744825		9.9	
657	F	3.565683		96.2	
658	N	3.612787		8.8	
659	F	3.591382		95.5	
660	N	4.015710		10.9	
661	F	3.598891		97.0	
662	N	3.529175		11.1	
663	F	3.626750		94.8	
664	N	3.651748		9.8	
665	F	3.526274		95.5	
666	N	3.580201		11.2	
667	F	3.496083		96.4	
668	N	3.660135		10.1	
669	F	3.573221		95.3	
670	N	3.578772		10.6	
671	F	3.482902		97.9	
672	N	3.593959		11.1	
673	F	3.566381		96.9	
674	N	3.565432		10.3	
675	F	3.572371		95.6	
676	N	3.650565		9.8	
677	F	3.635143		95.6	
678	N	3.628216		9.7	
679	F	3.565960		97.4	
680	N	3.579794		9.9	
681	F	3.669722		98.4	
682	N	3.642492		10.9	
683	F	3.638314		95.5	
684	N	3.607540		10.5	
685	F	3.511509		96.4	
686	N	3.612354		10.2	
687	F	3.553046		96.2	
688	N	3.618296		9.8	
689	F	3.599238		97.5	
690	N	3.749320		10.5	
691	F	3.573125		96.2	
692	N	3.458322		9.4	
693	F	3.595043		96.3	
694	N	3.575742		11.3	
695	F	3.507761		97.2	
696	N	3.563541		11.7	
697	F	3.519221		96.8	
698	N	3.594342		10.2	
699	F	3.755697		96.1	
700	N	3.589200		11.1	
700	EVAL		2.145017		
701	F	3.597324		96.4	
702	N	3.457259		10.6	
703	F	3.512348		96.3	
704	N	3.687495		11.0	
705	F	3.600704		96.8	
706	N	3.613046		11.1	
707	F	3.568967		95.0	
708	N	3.511036		11.2	
709	F	3.552059		97.9	
710	N	3.534962		10.2	
711	F	3.491804		96.4	
712	N	3.543153		10.2	
713	F	3.524583		97.0	
714	N	3.533227		12.0	
715	F	3.544621		97.0	
716	N	3.537930		10.7	
717	F	3.549139		96.6	
718	N	3.616862		10.4	
719	F	3.523124		97.4	
720	N	3.591321		10.6	
721	F	3.482213		94.6	
722	N	3.555963		11.1	
723	F	3.485074		95.4	
724	N	3.564679		10.5	
725	F	3.511463		96.7	
726	N	3.598369		11.0	
727	F	3.784032		96.2	
728	N	4.253013		10.3	
729	F	3.558320		95.4	
730	N	3.618491		9.2	
731	F	3.589619		96.3	
732	N	3.562040		11.0	
733	F	3.433418		96.7	
734	N	3.636564		10.5	
735	F	3.479906		97.2	
736	N	3.631389		11.4	
737	F	3.461718		96.6	
738	N	3.509103		11.4	
739	F	3.521141		94.6	
740	N	3.597764		11.4	
741	F	3.788305		95.5	
742	N	3.698555		11.0	
743	F	3.534847		96.0	
744	N	3.611439		11.3	
745	F	3.572057		96.9	
746	N	3.471672		11.5	
747	F	3.539721		95.3	
748	N	3.511686		11.5	
749	F	3.679216		96.3	
750	N	3.578084		11.3	
750	EVAL		2.132509		
751	F	3.541801		95.6	
752	N	3.543346		11.3	
753	F	3.545603		96.1	
754	N	3.584563		11.2	
755	F	3.428466		96.5	
756	N	3.530804		11.2	
757	F	3.596317		97.2	
758	N	3.640595		10.8	
759	F	3.562023		96.4	
760	N	3.545120		10.7	
761	F	3.545282		95.4	
762	N	3.542188		11.7	
763	F	3.428202		96.1	
764	N	3.556731		10.4	
765	F	3.442755		95.8	
766	N	3.598577		11.1	
767	F	3.727792		96.3	
768	N	3.536121		9.8	
769	F	3.527776		96.3	
770	N	3.518293		10.7	
771	F	3.465961		96.6	
772	N	3.582229		9.9	
773	F	3.574488		95.5	
774	N	3.559952		10.9	
775	F	3.593426		96.1	
776	N	3.502804		9.2	
777	F	3.552750		96.1	
778	N	3.529235		10.3	
779	F	3.519457		97.0	
780	N	3.550308		10.4	
781	F	3.528239		95.4	
782	N	3.594060		10.3	
783	F	3.526845		97.0	
784	N	3.501002		9.3	
785	F	3.574496		97.0	
786	N	3.671350		9.7	
787	F	3.488439		96.4	
788	N	3.532240		10.9	
789	F	3.618033		97.1	
790	N	3.489635		11.0	
791	F	3.471869		96.3	
792	N	3.537187		11.4	
793	F	3.537939		97.1	
794	N	3.480077		11.0	
795	F	3.410296		96.9	
796	N	3.524129		10.6	
797	F	3.453509		95.9	
798	N	3.605054		12.0	
799	F	3.474869		95.8	
800	N	3.611479		10.7	
800	EVAL		2.117469		
801	F	3.451408		95.4	
802	N	3.556278		11.0	
803	F	3.546137		95.5	
804	N	3.599128		11.3	
805	F	3.482883		97.9	
806	N	3.560983		10.0	
807	F	3.480647		96.5	
808	N	3.662610		10.8	
809	F	3.411544		95.9	
810	N	3.458189		10.4	
811	F	3.444706		97.4	
812	N	3.473603		11.1	
813	F	3.489414		97.0	
814	N	3.453502		11.7	
815	F	3.519693		96.6	
816	N	3.483335		11.4	
817	F	3.396720		97.0	
818	N	3.574088		11.3	
819	F	3.996574		94.8	
820	N	3.487539		10.6	
821	F	3.477119		95.6	
822	N	3.504329		10.0	
823	F	3.505018		95.9	
824	N	3.604605		11.4	
825	F	3.473572		96.9	
826	N	3.504024		10.2	
827	F	3.482423		96.1	
828	N	3.465859		11.3	
829	F	3.484719		96.9	
830	N	3.539126		10.1	
831	F	3.431639		97.4	
832	N	3.455709		11.4	
833	F	3.388934		96.5	
834	N	3.505522		11.4	
835	F	3.463452		97.1	
836	N	3.462290		11.2	
837	F	3.379930		96.4	
838	N	3.302863		10.0	
839	F	3.465522		95.8	
840	N	3.459066		10.9	
841	F	3.389531		96.3	
842	N	3.385000		11.1	
843	F	3.359758		96.2	
844	N	3.509949		10.4	
845	F	3.439803		97.3	
846	N	3.420635		11.6	
847	F	3.438779		94.8	
848	N	3.575759		10.1	
849	F	3.462878		97.3	
850	N	3.506056		11.3	
850	EVAL		2.089400		
851	F	3.493264		97.0	
852	N	3.480256		11.2	
853	F	3.457675		95.4	
854	N	3.586825		11.5	
855	F	3.539176		96.4	
856	N	3.448312		10.5	
857	F	3.430863		96.1	
858	N	3.588548		10.6	
859	F	3.490026		97.0	
860	N	3.449778		11.7	
861	F	3.438715		98.4	
862	N	3.502275		11.3	
863	F	3.453202		96.6	
864	N	3.510551		10.9	
865	F	3.631070		97.5	
866	N	3.542140		10.1	
867	F	3.462514		96.3	
868	N	3.480776		10.7	
869	F	3.505997		96.6	
870	N	3.520205		10.5	
871	F	3.367682		95.9	
872	N	3.485169		9.2	
873	F	3.450792		95.3	
874	N	3.553593		9.8	
875	F	3.368542		96.9	
876	N	3.475129		10.6	
877	F	3.380389		96.5	
878	N	3.511738		10.3	
879	F	3.365345		97.5	
880	N	3.531446		12.2	
881	F	3.448442		96.5	
882	N	3.458790		10.5	
883	F	3.469623		97.3	
884	N	3.346040		11.8	
885	F	3.382767		96.8	
886	N	3.471396		11.3	
887	F	3.440984		96.4	
888	N	3.500471		11.3	
889	F	3.497674		96.9	
890	N	3.453889		10.9	
891	F	3.388720		96.1	
892	N	3.502932		10.7	
893	F	3.395406		98.5	
894	N	3.431256		11.2	
895	F	3.469528		96.5	
896	N	3.426890		9.3	
897	F	3.387991		96.4	
898	N	3.385375		10.8	
899	F	3.532471		96.5	
900	N	3.275834		12.1	
900	EVAL		2.075890		
901	F	3.334906		97.5	
902	N	3.478342		10.6	
903	F	3.399421		96.6	
904	N	3.503018		10.9	
905	F	3.395409		97.9	
906	N	3.426042		10.1	
907	F	3.436682		96.7	
908	N	3.453644		9.9	
909	F	3.244143		97.1	
910	N	3.426251		9.4	
911	F	3.374504		95.8	
912	N	3.414301		10.7	
913	F	3.457781		96.9	
914	N	3.496399		11.1	
915	F	3.384467		95.9	
916	N	3.366281		10.3	
917	F	3.344004		96.7	
918	N	3.410107		11.4	
919	F	3.330761		97.2	
920	N	3.407536		9.6	
921	F	3.365676		96.3	
922	N	3.535204		10.5	
923	F	3.405630		97.1	
924	N	3.489682		11.1	
925	F	3.384399		96.8	
926	N	3.458697		9.9	
927	F	3.460338		97.8	
928	N	3.376755		10.6	
929	F	3.368155		96.3	
930	N	3.473880		10.9	
931	F	3.328578		96.6	
932	N	3.349006		10.7	
933	F	3.371041		96.5	
934	N	3.337894		10.5	
935	F	3.330703		96.1	
936	N	3.437644		11.4	
937	F	3.510708		96.9	
938	N	3.747505		10.1	
939	F	3.325321		96.2	
940	N	3.268793		9.0	
941	F	3.335969		94.8	
942	N	3.435712		10.8	
943	F	3.376279		96.2	
944	N	3.323967		10.5	
945	F	3.347021		97.9	
946	N	3.394920		11.1	
947	F	3.331665		97.4	
948	N	3.400530		10.3	
949	F	3.350192		96.1	
950	N	3.472536		9.6	
950	EVAL		2.078611		
951	F	3.336159		96.4	
952	N	3.416086		8.5	
953	F	3.397276		95.6	
954	N	3.562160		9.0	
955	F	4.116343		96.9	
956	N	3.890900		9.8	
957	F	3.392885		97.8	
958	N	3.406893		11.8	
959	F	3.562226		97.5	
960	N	3.312736		9.4	
961	F	3.412708		95.3	
962	N	3.524572		10.3	
963	F	3.500653		96.3	
964	N	3.517949		9.0	
965	F	3.464901		95.0	
966	N	3.524285		10.7	
967	F	3.500689		96.7	
968	N	3.467165		9.8	
969	F	3.366224		96.1	
970	N	3.429635		11.6	
971	F	3.446528		96.7	
972	N	3.297880		9.5	
973	F	3.280832		95.6	
974	N	3.188111		10.6	
975	F	3.244072		97.4	
976	N	3.341114		10.2	
977	F	3.553155		95.5	
978	N	3.397084		10.4	
