step	type	train_loss	val_bpb	step_ms	gravity
196	N	4.470916		11.1	
197	F	4.443355		97.2	
198	N	4.438041		9.9	
199	F	4.388251		96.9	
200	N	4.488835		11.1	
200	EVAL		2.671489		
201	F	4.280573		98.6	
202	N	4.387525		9.0	
203	F	4.364317		97.1	
204	N	4.374207		10.5	
205	F	4.402590		97.6	
206	N	4.391308		9.9	
207	F	4.442430		97.4	
208	N	4.472456		9.8	
209	F	4.341607		97.9	
210	N	4.472925		9.5	
211	F	4.382626		98.3	
212	N	4.288636		10.4	
213	F	4.544763		97.2	
214	N	4.384921		10.5	
215	F	4.641547		96.4	
216	N	4.402686		9.3	
217	F	4.312852		96.5	
218	N	4.328110		11.4	
219	F	4.298824		97.9	
220	N	4.353137		9.1	
221	F	4.394097		96.4	
222	N	4.404075		11.0	
223	F	4.375990		97.1	
224	N	4.382106		9.3	
225	F	4.310490		96.8	
226	N	4.386932		9.7	
227	F	4.279867		98.4	
228	N	4.339709		10.0	
229	F	4.354057		98.7	
230	N	4.402596		11.2	
231	F	4.344923		97.1	
232	N	4.363557		9.8	
233	F	4.408788		97.1	
234	N	4.397449		10.8	
235	F	4.308033		97.1	
236	N	4.461492		11.0	
237	F	4.339944		97.8	
238	N	4.434020		9.4	
239	F	4.279177		97.5	
240	N	4.334396		10.7	
241	F	4.322377		97.1	
242	N	4.360263		10.9	
243	F	4.379952		97.8	
244	N	4.407066		9.8	
245	F	4.376459		96.9	
246	N	4.334572		10.6	
247	F	4.386146		98.4	
248	N	4.345350		10.3	
249	F	4.322282		96.3	
250	N	4.479719		10.5	
250	EVAL		2.640140		
251	F	4.289986		98.4	
252	N	4.417232		9.8	
253	F	4.366189		97.5	
254	N	4.373070		10.6	
255	F	4.268065		97.6	
256	N	4.341727		10.1	
257	F	4.330313		97.8	
258	N	4.327360		9.4	
259	F	4.332925		97.6	
260	N	4.236129		10.0	
261	F	4.338495		97.6	
262	N	4.405141		8.9	
263	F	4.299483		96.3	
264	N	4.390445		10.2	
265	F	4.335021		97.5	
266	N	4.348446		10.7	
267	F	4.279026		99.0	
268	N	4.305880		10.9	
269	F	4.363419		98.3	
270	N	4.372522		9.8	
271	F	4.242654		98.2	
272	N	4.433514		11.0	
273	F	4.397730		96.6	
274	N	4.310885		10.1	
275	F	4.380466		97.6	
276	N	4.343900		10.1	
277	F	4.426734		96.9	
278	N	4.401160		10.7	
279	F	4.350190		97.7	
280	N	4.301705		10.7	
281	F	4.307154		97.9	
282	N	4.357923		9.9	
283	F	4.309301		96.4	
284	N	4.293061		10.4	
285	F	4.348816		96.3	
286	N	4.411094		10.5	
287	F	4.362126		98.9	
288	N	4.393901		10.7	
289	F	4.354454		97.5	
290	N	4.417336		10.8	
291	F	4.369482		97.3	
292	N	4.425909		10.4	
293	F	4.391294		97.3	
294	N	4.283395		11.1	
295	F	4.348852		98.4	
296	N	4.391097		10.0	
297	F	4.364073		97.9	
298	N	4.426988		11.0	
299	F	4.369465		97.0	
300	N	4.329848		10.8	
300	EVAL		2.627648		
