==========================================================================
  Cheap Multi-GPU Small SKC Run
  RUN_ID : small_skc_2gpu_s42_20260408_094021
  MODEL  : SKC L=8 D=256 H=8/4
  SKC    : block=16 caps=8 cap_dim=32
  ENGRAM : buckets=16384 dim=112 orders=3
  TERNARY: train_align=1@0.85 thr_search=1 scale_search=1
step:85/500000 loss:5.4013 t:19954ms avg:234.8ms
step:86/500000 loss:5.4103 t:20262ms avg:235.6ms
step:87/500000 loss:5.3214 t:20568ms avg:236.4ms
step:88/500000 loss:5.1065 t:20879ms avg:237.3ms
step:89/500000 loss:5.2866 t:21189ms avg:238.1ms
step:90/500000 loss:5.2439 t:21495ms avg:238.8ms
step:91/500000 loss:5.1164 t:21804ms avg:239.6ms
step:92/500000 loss:5.2208 t:22114ms avg:240.4ms
step:93/500000 loss:5.1579 t:22427ms avg:241.1ms
step:94/500000 loss:5.1716 t:22740ms avg:241.9ms
step:95/500000 loss:5.1326 t:23047ms avg:242.6ms
step:96/500000 loss:5.1376 t:23365ms avg:243.4ms
step:97/500000 loss:5.2007 t:23669ms avg:244.0ms
step:98/500000 loss:5.2024 t:23974ms avg:244.6ms
step:99/500000 loss:5.0624 t:24283ms avg:245.3ms
step:100/500000 loss:5.1357 t:24591ms avg:245.9ms
step:101/500000 loss:4.9559 t:24905ms avg:246.6ms
step:102/500000 loss:5.3168 t:25217ms avg:247.2ms
step:103/500000 loss:5.0009 t:25525ms avg:247.8ms
step:104/500000 loss:4.9848 t:25840ms avg:248.5ms
step:105/500000 loss:4.9761 t:26153ms avg:249.1ms
step:106/500000 loss:4.8723 t:26464ms avg:249.7ms
step:107/500000 loss:4.9395 t:26767ms avg:250.2ms
step:108/500000 loss:5.0248 t:27074ms avg:250.7ms
step:109/500000 loss:4.9806 t:27385ms avg:251.2ms
step:110/500000 loss:4.9646 t:27697ms avg:251.8ms
step:111/500000 loss:4.8303 t:28003ms avg:252.3ms
step:112/500000 loss:4.8843 t:28314ms avg:252.8ms
step:113/500000 loss:4.8899 t:28640ms avg:253.5ms
step:114/500000 loss:4.8729 t:28961ms avg:254.0ms
step:115/500000 loss:5.0186 t:29266ms avg:254.5ms
step:116/500000 loss:4.8395 t:29575ms avg:255.0ms
step:117/500000 loss:4.7782 t:29888ms avg:255.5ms
step:118/500000 loss:4.8470 t:30195ms avg:255.9ms
step:119/500000 loss:5.1335 t:30504ms avg:256.3ms
step:120/500000 loss:4.7861 t:30832ms avg:256.9ms
step:121/500000 loss:4.6813 t:31147ms avg:257.4ms
step:122/500000 loss:4.7784 t:31457ms avg:257.8ms
step:123/500000 loss:4.6456 t:31762ms avg:258.2ms
step:124/500000 loss:4.7918 t:32072ms avg:258.6ms
step:125/500000 loss:4.8097 t:32380ms avg:259.0ms
step:126/500000 loss:4.8918 t:32687ms avg:259.4ms
step:127/500000 loss:4.5285 t:32994ms avg:259.8ms
step:128/500000 loss:4.5258 t:33307ms avg:260.2ms
step:129/500000 loss:4.7649 t:33615ms avg:260.6ms
step:130/500000 loss:4.7840 t:33924ms avg:261.0ms
step:131/500000 loss:4.6236 t:34230ms avg:261.3ms
step:132/500000 loss:4.6491 t:34537ms avg:261.6ms
step:133/500000 loss:4.5330 t:34857ms avg:262.1ms
step:134/500000 loss:4.5485 t:35169ms avg:262.5ms
step:135/500000 loss:4.6728 t:35499ms avg:263.0ms
step:136/500000 loss:4.7018 t:35825ms avg:263.4ms
step:137/500000 loss:4.6222 t:36155ms avg:263.9ms
step:138/500000 loss:4.6410 t:36493ms avg:264.4ms
step:139/500000 loss:4.6816 t:36832ms avg:265.0ms
step:140/500000 loss:4.5430 t:37159ms avg:265.4ms
step:141/500000 loss:4.4313 t:37483ms avg:265.8ms
step:142/500000 loss:4.6305 t:37801ms avg:266.2ms
step:143/500000 loss:4.5249 t:38127ms avg:266.6ms
step:144/500000 loss:4.5579 t:38447ms avg:267.0ms
step:145/500000 loss:7.3198 t:39375ms avg:271.6ms
step:146/500000 loss:7.0608 t:40282ms avg:275.9ms
step:147/500000 loss:6.7178 t:41218ms avg:280.4ms
step:148/500000 loss:6.6603 t:42131ms avg:284.7ms
step:149/500000 loss:6.5721 t:43039ms avg:288.9ms
step:150/500000 loss:6.4724 t:43947ms avg:293.0ms
step:151/500000 loss:6.4476 t:44870ms avg:297.2ms
step:152/500000 loss:6.4384 t:45807ms avg:301.4ms
step:152/500000 val_loss:4.5031 val_bpb:2.7108 train_time:45817ms zero_frac:0.821
checkpoint:best_live step=152 val_bpb:2.7108
stopping_early: wallclock_cap train_time:45817ms step:152/500000
serialization:live_ternary_tensors=36
lawa:candidate k=2 tensors=75 include_ternary=0
swa:candidate count=1 tensors=75 include_ternary=0
ema:candidate shadow tensors=74 include_ternary=0
serialization:fast_export selected variant=lawa (skipped grid search)
artifact:3.58MB ternary:6557696(6743850B,turbo=44,plain=4) fp:498184(996368B) code:237034
budget:3820010/16000000 (3.82/16.00MB) FITS
eval_feedback_passes:2
final_ternary_roundtrip val_loss:5.1916 val_bpb:3.1252
ttt_sliding:start chunks=16 chunk_tokens=32768 stride=32 ttt_lr=0.002 ttt_epochs=3 scope=feedback
ttt_sliding:params unfrozen=36544
  ttt_chunk [1/16] bpb=3.054546 time=4.8s
  ttt_chunk [11/16] bpb=3.050258 time=55.0s
ttt_sliding:done val_loss=5.168793 val_bpb=3.112146 elapsed=76.3s
legal_ttt val_loss:5.1688 val_bpb:3.1121 eval_time:76367ms
legal_ttt_exact val_loss:5.16879308 val_bpb:3.11214624
=== DONE ===
Log      : /workspace/logs/small_skc_2gpu_s42_20260408_094021.log
Artifact : logs/small_skc_2gpu_s42_20260408_094021_model.ternary.ptz
