Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 31,457,280
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,960
  scalars                 : 24
  total                   : 91,096,024
Estimated FLOPs per token: 4.443398e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011433 | lrm: 1.00 | dt: 792ms | tok/sec: 82,782 | mfu: 3.7% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.895565 | lrm: 1.00 | dt: 659ms | tok/sec: 99,457 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.522554 | lrm: 1.00 | dt: 659ms | tok/sec: 99,481 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.119595 | lrm: 1.00 | dt: 659ms | tok/sec: 99,497 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.777483 | lrm: 1.00 | dt: 659ms | tok/sec: 99,499 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.468827 | lrm: 1.00 | dt: 659ms | tok/sec: 99,502 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.215069 | lrm: 1.00 | dt: 657ms | tok/sec: 99,716 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.015522 | lrm: 1.00 | dt: 657ms | tok/sec: 99,812 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.841698 | lrm: 1.00 | dt: 657ms | tok/sec: 99,809 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.698091 | lrm: 1.00 | dt: 657ms | tok/sec: 99,790 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.571803 | lrm: 1.00 | dt: 656ms | tok/sec: 99,831 | mfu: 4.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.465797 | lrm: 1.00 | dt: 657ms | tok/sec: 99,793 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.382183 | lrm: 1.00 | dt: 657ms | tok/sec: 99,825 | mfu: 4.5% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.329188 | lrm: 1.00 | dt: 657ms | tok/sec: 99,797 | mfu: 4.5% | epoch: 1 | remaining: 298s    
step 00066 (12.1%) | loss: 4.926191 | lrm: 1.00 | dt: 657ms | tok/sec: 99,794 | mfu: 4.5% | epoch: 1 | remaining: 263s    
step 00067 (12.3%) | loss: 4.914118 | lrm: 1.00 | dt: 657ms | tok/sec: 99,816 | mfu: 4.5% | epoch: 1 | remaining: 262s    
step 00068 (12.5%) | loss: 4.897062 | lrm: 1.00 | dt: 657ms | tok/sec: 99,766 | mfu: 4.5% | epoch: 1 | remaining: 262s    
step 00069 (12.7%) | loss: 4.864971 | lrm: 1.00 | dt: 704ms | tok/sec: 93,054 | mfu: 4.2% | epoch: 1 | remaining: 261s    
step 00070 (13.0%) | loss: 4.839611 | lrm: 1.00 | dt: 658ms | tok/sec: 99,639 | mfu: 4.5% | epoch: 1 | remaining: 260s    
step 00071 (13.2%) | loss: 4.829256 | lrm: 1.00 | dt: 657ms | tok/sec: 99,816 | mfu: 4.5% | epoch: 1 | remaining: 260s    
step 00072 (13.4%) | loss: 4.811126 | lrm: 1.00 | dt: 657ms | tok/sec: 99,798 | mfu: 4.5% | epoch: 1 | remaining: 259s    
step 00073 (13.6%) | loss: 4.796862 | lrm: 1.00 | dt: 657ms | tok/sec: 99,810 | mfu: 4.5% | epoch: 1 | remaining: 258s    
step 00074 (13.8%) | loss: 4.775767 | lrm: 1.00 | dt: 657ms | tok/sec: 99,755 | mfu: 4.5% | epoch: 1 | remaining: 258s    
step 00075 (14.1%) | loss: 4.749909 | lrm: 1.00 | dt: 657ms | tok/sec: 99,763 | mfu: 4.5% | epoch: 1 | remaining: 257s    
step 00076 (14.3%) | loss: 4.736712 | lrm: 1.00 | dt: 657ms | tok/sec: 99,732 | mfu: 4.5% | epoch: 1 | remaining: 256s    
step 00077 (14.5%) | loss: 4.730206 | lrm: 1.00 | dt: 657ms | tok/sec: 99,805 | mfu: 4.5% | epoch: 1 | remaining: 256s    
step 00078 (14.7%) | loss: 4.731593 | lrm: 1.00 | dt: 657ms | tok/sec: 99,804 | mfu: 4.5% | epoch: 1 | remaining: 255s    
step 00079 (14.9%) | loss: 4.702645 | lrm: 1.00 | dt: 657ms | tok/sec: 99,800 | mfu: 4.5% | epoch: 1 | remaining: 255s    
step 00080 (15.2%) | loss: 4.703078 | lrm: 1.00 | dt: 657ms | tok/sec: 99,760 | mfu: 4.5% | epoch: 1 | remaining: 254s    
step 00081 (15.4%) | loss: 4.678965 | lrm: 1.00 | dt: 657ms | tok/sec: 99,811 | mfu: 4.5% | epoch: 1 | remaining: 253s    
step 00082 (15.6%) | loss: 4.647060 | lrm: 1.00 | dt: 657ms | tok/sec: 99,802 | mfu: 4.5% | epoch: 1 | remaining: 253s    
step 00083 (15.8%) | loss: 4.647229 | lrm: 1.00 | dt: 657ms | tok/sec: 99,797 | mfu: 4.5% | epoch: 1 | remaining: 252s    
step 00084 (16.0%) | loss: 4.623915 | lrm: 1.00 | dt: 657ms | tok/sec: 99,804 | mfu: 4.5% | epoch: 1 | remaining: 251s    
step 00085 (16.3%) | loss: 4.610027 | lrm: 1.00 | dt: 657ms | tok/sec: 99,807 | mfu: 4.5% | epoch: 1 | remaining: 251s    
step 00086 (16.5%) | loss: 4.582227 | lrm: 1.00 | dt: 657ms | tok/sec: 99,809 | mfu: 4.5% | epoch: 1 | remaining: 250s    
step 00087 (16.7%) | loss: 4.562474 | lrm: 1.00 | dt: 657ms | tok/sec: 99,772 | mfu: 4.5% | epoch: 1 | remaining: 249s    
step 00088 (16.9%) | loss: 4.551158 | lrm: 1.00 | dt: 657ms | tok/sec: 99,798 | mfu: 4.5% | epoch: 1 | remaining: 249s    
step 00089 (17.1%) | loss: 4.539328 | lrm: 1.00 | dt: 657ms | tok/sec: 99,792 | mfu: 4.5% | epoch: 1 | remaining: 248s    
step 00090 (17.3%) | loss: 4.516627 | lrm: 1.00 | dt: 657ms | tok/sec: 99,773 | mfu: 4.5% | epoch: 1 | remaining: 247s    
step 00091 (17.6%) | loss: 4.498614 | lrm: 1.00 | dt: 657ms | tok/sec: 99,773 | mfu: 4.5% | epoch: 1 | remaining: 247s    
step 00092 (17.8%) | loss: 4.483979 | lrm: 1.00 | dt: 657ms | tok/sec: 99,815 | mfu: 4.5% | epoch: 1 | remaining: 246s    
step 00093 (18.0%) | loss: 4.471533 | lrm: 1.00 | dt: 657ms | tok/sec: 99,814 | mfu: 4.5% | epoch: 1 | remaining: 245s    
step 00094 (18.2%) | loss: 4.456706 | lrm: 1.00 | dt: 657ms | tok/sec: 99,798 | mfu: 4.5% | epoch: 1 | remaining: 245s    
step 00095 (18.4%) | loss: 4.439618 | lrm: 1.00 | dt: 657ms | tok/sec: 99,783 | mfu: 4.5% | epoch: 1 | remaining: 244s    
step 00096 (18.7%) | loss: 4.423568 | lrm: 1.00 | dt: 716ms | tok/sec: 91,589 | mfu: 4.1% | epoch: 1 | remaining: 243s    
step 00097 (18.9%) | loss: 4.417915 | lrm: 1.00 | dt: 659ms | tok/sec: 99,462 | mfu: 4.5% | epoch: 1 | remaining: 243s    
step 00098 (19.1%) | loss: 4.398374 | lrm: 1.00 | dt: 657ms | tok/sec: 99,730 | mfu: 4.5% | epoch: 1 | remaining: 242s    
step 00099 (19.3%) | loss: 4.400571 | lrm: 1.00 | dt: 657ms | tok/sec: 99,807 | mfu: 4.5% | epoch: 1 | remaining: 241s    
step 00100 (19.6%) | loss: 4.391999 | lrm: 1.00 | dt: 657ms | tok/sec: 99,811 | mfu: 4.5% | epoch: 1 | remaining: 241s    
step 00101 (19.8%) | loss: 4.379283 | lrm: 1.00 | dt: 657ms | tok/sec: 99,790 | mfu: 4.5% | epoch: 1 | remaining: 240s    
step 00102 (20.0%) | loss: 4.369103 | lrm: 1.00 | dt: 657ms | tok/sec: 99,821 | mfu: 4.5% | epoch: 1 | remaining: 239s    
step 00103 (20.2%) | loss: 4.336705 | lrm: 1.00 | dt: 657ms | tok/sec: 99,797 | mfu: 4.5% | epoch: 1 | remaining: 239s    
step 00104 (20.4%) | loss: 4.342393 | lrm: 1.00 | dt: 657ms | tok/sec: 99,771 | mfu: 4.5% | epoch: 1 | remaining: 238s    
step 00105 (20.7%) | loss: 4.327365 | lrm: 1.00 | dt: 657ms | tok/sec: 99,804 | mfu: 4.5% | epoch: 1 | remaining: 237s    
step 00106 (20.9%) | loss: 4.304961 | lrm: 1.00 | dt: 657ms | tok/sec: 99,820 | mfu: 4.5% | epoch: 1 | remaining: 237s    
step 00107 (21.1%) | loss: 4.300347 | lrm: 1.00 | dt: 657ms | tok/sec: 99,798 | mfu: 4.5% | epoch: 1 | remaining: 236s    
step 00108 (21.3%) | loss: 4.283574 | lrm: 1.00 | dt: 657ms | tok/sec: 99,800 | mfu: 4.5% | epoch: 1 | remaining: 235s    
step 00109 (21.5%) | loss: 4.264372 | lrm: 1.00 | dt: 657ms | tok/sec: 99,739 | mfu: 4.5% | epoch: 1 | remaining: 235s    
step 00110 (21.7%) | loss: 4.271592 | lrm: 1.00 | dt: 657ms | tok/sec: 99,798 | mfu: 4.5% | epoch: 1 | remaining: 234s    
step 00111 (22.0%) | loss: 4.264378 | lrm: 1.00 | dt: 657ms | tok/sec: 99,821 | mfu: 4.5% | epoch: 1 | remaining: 233s    
step 00112 (22.2%) | loss: 4.247536 | lrm: 1.00 | dt: 657ms | tok/sec: 99,788 | mfu: 4.5% | epoch: 1 | remaining: 233s    
step 00113 (22.4%) | loss: 4.251524 | lrm: 1.00 | dt: 657ms | tok/sec: 99,784 | mfu: 4.5% | epoch: 1 | remaining: 232s    
step 00114 (22.6%) | loss: 4.242785 | lrm: 1.00 | dt: 657ms | tok/sec: 99,797 | mfu: 4.5% | epoch: 1 | remaining: 231s    
step 00115 (22.8%) | loss: 4.226061 | lrm: 1.00 | dt: 657ms | tok/sec: 99,796 | mfu: 4.5% | epoch: 1 | remaining: 231s    
step 00116 (23.1%) | loss: 4.218621 | lrm: 1.00 | dt: 657ms | tok/sec: 99,809 | mfu: 4.5% | epoch: 1 | remaining: 230s    
step 00117 (23.3%) | loss: 4.192893 | lrm: 1.00 | dt: 657ms | tok/sec: 99,815 | mfu: 4.5% | epoch: 1 | remaining: 230s    
step 00118 (23.5%) | loss: 4.174970 | lrm: 1.00 | dt: 657ms | tok/sec: 99,806 | mfu: 4.5% | epoch: 1 | remaining: 229s    
step 00119 (23.7%) | loss: 4.162810 | lrm: 1.00 | dt: 657ms | tok/sec: 99,762 | mfu: 4.5% | epoch: 1 | remaining: 228s    
step 00120 (23.9%) | loss: 4.152540 | lrm: 1.00 | dt: 657ms | tok/sec: 99,752 | mfu: 4.5% | epoch: 1 | remaining: 228s    
step 00121 (24.2%) | loss: 4.140706 | lrm: 1.00 | dt: 657ms | tok/sec: 99,791 | mfu: 4.5% | epoch: 1 | remaining: 227s    
step 00122 (24.4%) | loss: 4.127520 | lrm: 1.00 | dt: 678ms | tok/sec: 96,712 | mfu: 4.3% | epoch: 1 | remaining: 226s    
step 00123 (24.6%) | loss: 4.118673 | lrm: 1.00 | dt: 684ms | tok/sec: 95,750 | mfu: 4.3% | epoch: 1 | remaining: 226s    
step 00124 (24.8%) | loss: 4.111025 | lrm: 1.00 | dt: 660ms | tok/sec: 99,359 | mfu: 4.5% | epoch: 1 | remaining: 225s    
step 00125 (25.0%) | loss: 4.102873 | lrm: 1.00 | dt: 659ms | tok/sec: 99,479 | mfu: 4.5% | epoch: 1 | remaining: 224s    
step 00126 (25.3%) | loss: 4.093620 | lrm: 1.00 | dt: 659ms | tok/sec: 99,510 | mfu: 4.5% | epoch: 1 | remaining: 224s    
step 00127 (25.5%) | loss: 4.092079 | lrm: 1.00 | dt: 659ms | tok/sec: 99,492 | mfu: 4.5% | epoch: 1 | remaining: 223s    
step 00128 (25.7%) | loss: 4.071165 | lrm: 1.00 | dt: 659ms | tok/sec: 99,498 | mfu: 4.5% | epoch: 1 | remaining: 222s    
step 00129 (25.9%) | loss: 4.084438 | lrm: 1.00 | dt: 659ms | tok/sec: 99,453 | mfu: 4.5% | epoch: 1 | remaining: 222s    
step 00130 (26.1%) | loss: 4.085359 | lrm: 1.00 | dt: 659ms | tok/sec: 99,509 | mfu: 4.5% | epoch: 1 | remaining: 221s    
step 00131 (26.4%) | loss: 4.076195 | lrm: 1.00 | dt: 659ms | tok/sec: 99,521 | mfu: 4.5% | epoch: 1 | remaining: 220s    
step 00132 (26.6%) | loss: 4.078928 | lrm: 1.00 | dt: 659ms | tok/sec: 99,501 | mfu: 4.5% | epoch: 1 | remaining: 220s    
step 00133 (26.8%) | loss: 4.065900 | lrm: 1.00 | dt: 659ms | tok/sec: 99,475 | mfu: 4.5% | epoch: 1 | remaining: 219s    
step 00134 (27.0%) | loss: 4.064869 | lrm: 1.00 | dt: 659ms | tok/sec: 99,482 | mfu: 4.5% | epoch: 1 | remaining: 218s    
step 00135 (27.2%) | loss: 4.054903 | lrm: 1.00 | dt: 659ms | tok/sec: 99,482 | mfu: 4.5% | epoch: 1 | remaining: 218s    
step 00136 (27.5%) | loss: 4.046704 | lrm: 1.00 | dt: 659ms | tok/sec: 99,493 | mfu: 4.5% | epoch: 1 | remaining: 217s    
step 00137 (27.7%) | loss: 4.051458 | lrm: 1.00 | dt: 659ms | tok/sec: 99,488 | mfu: 4.5% | epoch: 1 | remaining: 216s    
step 00138 (27.9%) | loss: 4.049064 | lrm: 1.00 | dt: 659ms | tok/sec: 99,491 | mfu: 4.5% | epoch: 1 | remaining: 216s    
step 00139 (28.1%) | loss: 4.033280 | lrm: 1.00 | dt: 659ms | tok/sec: 99,499 | mfu: 4.5% | epoch: 1 | remaining: 215s    
step 00140 (28.3%) | loss: 4.017263 | lrm: 1.00 | dt: 659ms | tok/sec: 99,466 | mfu: 4.5% | epoch: 1 | remaining: 214s    
step 00141 (28.6%) | loss: 4.009494 | lrm: 1.00 | dt: 659ms | tok/sec: 99,493 | mfu: 4.5% | epoch: 1 | remaining: 214s    
step 00142 (28.8%) | loss: 3.987401 | lrm: 1.00 | dt: 659ms | tok/sec: 99,492 | mfu: 4.5% | epoch: 1 | remaining: 213s    
step 00143 (29.0%) | loss: 3.964801 | lrm: 1.00 | dt: 659ms | tok/sec: 99,472 | mfu: 4.5% | epoch: 1 | remaining: 212s    
step 00144 (29.2%) | loss: 3.965573 | lrm: 1.00 | dt: 659ms | tok/sec: 99,505 | mfu: 4.5% | epoch: 1 | remaining: 212s    
step 00145 (29.4%) | loss: 3.949454 | lrm: 1.00 | dt: 659ms | tok/sec: 99,514 | mfu: 4.5% | epoch: 1 | remaining: 211s    
step 00146 (29.7%) | loss: 3.950744 | lrm: 1.00 | dt: 659ms | tok/sec: 99,518 | mfu: 4.5% | epoch: 1 | remaining: 210s    
step 00147 (29.9%) | loss: 3.938577 | lrm: 1.00 | dt: 659ms | tok/sec: 99,496 | mfu: 4.5% | epoch: 1 | remaining: 210s    
step 00148 (30.1%) | loss: 3.959075 | lrm: 1.00 | dt: 659ms | tok/sec: 99,467 | mfu: 4.5% | epoch: 1 | remaining: 209s    
step 00149 (30.3%) | loss: 3.961922 | lrm: 1.00 | dt: 691ms | tok/sec: 94,820 | mfu: 4.3% | epoch: 1 | remaining: 208s    
step 00150 (30.5%) | loss: 3.948313 | lrm: 1.00 | dt: 670ms | tok/sec: 97,746 | mfu: 4.4% | epoch: 1 | remaining: 208s    
step 00151 (30.8%) | loss: 3.941652 | lrm: 1.00 | dt: 660ms | tok/sec: 99,330 | mfu: 4.5% | epoch: 1 | remaining: 207s    
step 00152 (31.0%) | loss: 3.929503 | lrm: 1.00 | dt: 659ms | tok/sec: 99,501 | mfu: 4.5% | epoch: 1 | remaining: 206s    
step 00153 (31.2%) | loss: 3.934707 | lrm: 1.00 | dt: 659ms | tok/sec: 99,502 | mfu: 4.5% | epoch: 1 | remaining: 206s    
step 00154 (31.4%) | loss: 3.923587 | lrm: 1.00 | dt: 659ms | tok/sec: 99,501 | mfu: 4.5% | epoch: 1 | remaining: 205s    
step 00155 (31.6%) | loss: 3.926218 | lrm: 1.00 | dt: 659ms | tok/sec: 99,507 | mfu: 4.5% | epoch: 1 | remaining: 204s    
step 00156 (31.9%) | loss: 3.914520 | lrm: 1.00 | dt: 659ms | tok/sec: 99,510 | mfu: 4.5% | epoch: 1 | remaining: 204s    
