Loading Model
Model Compiled
Model Loaded
Starting Training
Validating
Step 0 | Val Loss: 8.2640 | Val BPB: 4.8944
Step 1000 | Val Loss: 2.5263 | Val BPB: 1.4962
Step 1000 | Train GeoLoss: 2.5119 | Time: 3245.2s
Step 1010 | Train GeoLoss: 2.5004 | Time: 3361.8s
Step 1020 | Train GeoLoss: 2.5430 | Time: 3384.9s
Step 1030 | Train GeoLoss: 2.5290 | Time: 3407.9s
Step 1040 | Train GeoLoss: 2.5584 | Time: 3430.9s
Step 1050 | Train GeoLoss: 2.5553 | Time: 3453.9s
Step 1060 | Train GeoLoss: 2.4902 | Time: 3477.0s
Step 1070 | Train GeoLoss: 2.4237 | Time: 3499.9s
Step 1080 | Train GeoLoss: 2.5337 | Time: 3523.1s
Step 1090 | Train GeoLoss: 2.5349 | Time: 3546.1s
Validating
Step 1100 | Val Loss: 2.5094 | Val BPB: 1.4862
Step 1100 | Train GeoLoss: 2.4917 | Time: 3569.1s
Step 1110 | Train GeoLoss: 2.4909 | Time: 3685.8s
Step 1120 | Train GeoLoss: 2.5318 | Time: 3708.7s
Step 1130 | Train GeoLoss: 2.5411 | Time: 3731.5s
Step 1140 | Train GeoLoss: 2.4936 | Time: 3754.4s
Step 1150 | Train GeoLoss: 2.4845 | Time: 3777.4s
Step 1160 | Train GeoLoss: 2.5393 | Time: 3800.4s
Step 1170 | Train GeoLoss: 2.4619 | Time: 3823.4s
Step 1180 | Train GeoLoss: 2.4035 | Time: 3846.5s
Step 1190 | Train GeoLoss: 2.5408 | Time: 3869.5s
Validating
Step 1200 | Val Loss: 2.4923 | Val BPB: 1.4761
Step 1200 | Train GeoLoss: 2.4637 | Time: 3892.5s
Step 1210 | Train GeoLoss: 2.5022 | Time: 4009.3s
Step 1220 | Train GeoLoss: 2.4910 | Time: 4032.3s
Step 1230 | Train GeoLoss: 2.5302 | Time: 4055.3s
Step 1240 | Train GeoLoss: 2.4928 | Time: 4078.3s
Step 1250 | Train GeoLoss: 2.4974 | Time: 4101.4s
Step 1260 | Train GeoLoss: 2.5324 | Time: 4124.4s
Step 1270 | Train GeoLoss: 2.5100 | Time: 4147.4s
Step 1280 | Train GeoLoss: 2.3833 | Time: 4170.4s
Step 1290 | Train GeoLoss: 2.4923 | Time: 4193.4s
Validating
Step 1300 | Val Loss: 2.4763 | Val BPB: 1.4666
Step 1300 | Train GeoLoss: 2.4729 | Time: 4216.4s
Step 1310 | Train GeoLoss: 2.4368 | Time: 4333.2s
Step 1320 | Train GeoLoss: 2.6221 | Time: 4356.2s
Step 1330 | Train GeoLoss: 2.5595 | Time: 4379.2s
Step 1340 | Train GeoLoss: 2.4449 | Time: 4402.3s
Step 1350 | Train GeoLoss: 2.3870 | Time: 4425.3s
Step 1360 | Train GeoLoss: 2.4327 | Time: 4448.3s
Step 1370 | Train GeoLoss: 2.5029 | Time: 4471.2s
Step 1380 | Train GeoLoss: 2.3258 | Time: 4494.2s
Step 1390 | Train GeoLoss: 2.4684 | Time: 4517.2s
Validating
Step 1400 | Val Loss: 2.4639 | Val BPB: 1.4593
Step 1400 | Train GeoLoss: 2.6330 | Time: 4540.2s
Step 1410 | Train GeoLoss: 2.4014 | Time: 4656.9s
Step 1420 | Train GeoLoss: 2.4719 | Time: 4679.9s
Step 1430 | Train GeoLoss: 2.4655 | Time: 4702.9s
Step 1440 | Train GeoLoss: 2.4506 | Time: 4725.9s
Step 1450 | Train GeoLoss: 2.4464 | Time: 4748.9s
Step 1460 | Train GeoLoss: 2.4335 | Time: 4771.9s
Step 1470 | Train GeoLoss: 2.4760 | Time: 4794.9s
Step 1480 | Train GeoLoss: 2.5326 | Time: 4817.9s
Step 1490 | Train GeoLoss: 2.4364 | Time: 4840.9s
Validating
Step 1500 | Val Loss: 2.4533 | Val BPB: 1.4530
Step 1500 | Train GeoLoss: 2.4617 | Time: 4863.9s
Step 1510 | Train GeoLoss: 2.4035 | Time: 4980.5s
Step 1520 | Train GeoLoss: 2.4196 | Time: 5003.4s
Step 1530 | Train GeoLoss: 2.4175 | Time: 5026.4s
Step 1540 | Train GeoLoss: 2.4484 | Time: 5049.4s
Step 1550 | Train GeoLoss: 2.5617 | Time: 5072.4s
Step 1560 | Train GeoLoss: 2.6080 | Time: 5095.4s
Step 1570 | Train GeoLoss: 2.4512 | Time: 5118.4s
Step 1580 | Train GeoLoss: 2.4487 | Time: 5141.4s
Step 1590 | Train GeoLoss: 2.4147 | Time: 5164.4s
Validating
Step 1600 | Val Loss: 2.4456 | Val BPB: 1.4484
Step 1600 | Train GeoLoss: 2.4243 | Time: 5187.3s
Step 1610 | Train GeoLoss: 2.4445 | Time: 5304.1s
Step 1620 | Train GeoLoss: 2.4358 | Time: 5327.0s
Step 1630 | Train GeoLoss: 2.4302 | Time: 5350.0s
Step 1640 | Train GeoLoss: 2.5027 | Time: 5373.0s
Step 1650 | Train GeoLoss: 2.4033 | Time: 5395.9s
Step 1660 | Train GeoLoss: 2.4047 | Time: 5418.9s
Step 1670 | Train GeoLoss: 2.4265 | Time: 5441.9s
Step 1680 | Train GeoLoss: 2.4456 | Time: 5464.9s
Step 1690 | Train GeoLoss: 2.5388 | Time: 5487.8s
Validating
Step 1700 | Val Loss: 2.4361 | Val BPB: 1.4428
Step 1700 | Train GeoLoss: 2.4939 | Time: 5510.8s
Step 1710 | Train GeoLoss: 2.4274 | Time: 5627.5s
Step 1720 | Train GeoLoss: 2.4482 | Time: 5650.6s
Step 1730 | Train GeoLoss: 2.4499 | Time: 5673.6s
Step 1740 | Train GeoLoss: 2.4353 | Time: 5696.5s
Step 1750 | Train GeoLoss: 2.4172 | Time: 5719.6s
Step 1760 | Train GeoLoss: 2.4325 | Time: 5742.5s
Step 1770 | Train GeoLoss: 2.4797 | Time: 5765.5s
Step 1780 | Train GeoLoss: 2.3900 | Time: 5788.5s
Step 1790 | Train GeoLoss: 2.4344 | Time: 5811.5s
Validating
Step 1800 | Val Loss: 2.4246 | Val BPB: 1.4360
Step 1800 | Train GeoLoss: 2.4206 | Time: 5834.5s
Step 1810 | Train GeoLoss: 2.3636 | Time: 5951.0s
Step 1820 | Train GeoLoss: 2.3848 | Time: 5973.8s
Step 1830 | Train GeoLoss: 2.3994 | Time: 5996.6s
Step 1840 | Train GeoLoss: 2.4884 | Time: 6019.4s
Step 1850 | Train GeoLoss: 2.3890 | Time: 6042.2s
Step 1860 | Train GeoLoss: 2.4206 | Time: 6065.0s
Step 1870 | Train GeoLoss: 2.4334 | Time: 6087.8s
Step 1880 | Train GeoLoss: 2.4264 | Time: 6110.6s
Step 1890 | Train GeoLoss: 2.4252 | Time: 6133.4s
Validating
Step 1900 | Val Loss: 2.4198 | Val BPB: 1.4331
Step 1900 | Train GeoLoss: 2.4110 | Time: 6156.2s
Step 1910 | Train GeoLoss: 2.4302 | Time: 6272.9s
Step 1920 | Train GeoLoss: 2.3884 | Time: 6295.9s
Step 1930 | Train GeoLoss: 2.4268 | Time: 6318.8s
Step 1940 | Train GeoLoss: 2.4150 | Time: 6341.8s
Step 1950 | Train GeoLoss: 2.4359 | Time: 6364.8s
Step 1960 | Train GeoLoss: 2.3821 | Time: 6387.8s
Step 1970 | Train GeoLoss: 2.4361 | Time: 6410.7s
Step 1980 | Train GeoLoss: 2.4343 | Time: 6433.7s
Step 1990 | Train GeoLoss: 2.3797 | Time: 6456.7s
Validating
Step 1999 | Val Loss: 2.4048 | Val BPB: 1.4242
Successfully saved. Compressed size: 17.08 MB
