Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 31,457,280
  lm_head                 : 5,242,880
  transformer_matrices    : 58,983,360
  scalars                 : 24
  total                   : 100,926,424
Estimated FLOPs per token: 5.033222e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011059 | lrm: 1.00 | dt: 860ms | tok/sec: 76,169 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.892312 | lrm: 1.00 | dt: 750ms | tok/sec: 87,370 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.534499 | lrm: 1.00 | dt: 750ms | tok/sec: 87,371 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.111837 | lrm: 1.00 | dt: 750ms | tok/sec: 87,355 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.751988 | lrm: 1.00 | dt: 800ms | tok/sec: 81,901 | mfu: 4.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.449299 | lrm: 1.00 | dt: 751ms | tok/sec: 87,230 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.210782 | lrm: 1.00 | dt: 751ms | tok/sec: 87,217 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.016869 | lrm: 1.00 | dt: 753ms | tok/sec: 87,090 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.850845 | lrm: 1.00 | dt: 753ms | tok/sec: 87,069 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.705286 | lrm: 1.00 | dt: 752ms | tok/sec: 87,094 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.580392 | lrm: 1.00 | dt: 753ms | tok/sec: 87,071 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.477669 | lrm: 1.00 | dt: 753ms | tok/sec: 87,027 | mfu: 4.4% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.388392 | lrm: 1.00 | dt: 753ms | tok/sec: 87,030 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.321155 | lrm: 1.00 | dt: 753ms | tok/sec: 87,055 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00031 (5.0%) | loss: 5.607905 | lrm: 1.00 | dt: 753ms | tok/sec: 87,061 | mfu: 4.4% | epoch: 1 | remaining: 284s    
step 00032 (5.3%) | loss: 5.598426 | lrm: 1.00 | dt: 753ms | tok/sec: 87,073 | mfu: 4.4% | epoch: 1 | remaining: 283s    
step 00033 (5.5%) | loss: 5.581473 | lrm: 1.00 | dt: 753ms | tok/sec: 87,059 | mfu: 4.4% | epoch: 1 | remaining: 283s    
step 00034 (5.8%) | loss: 5.561177 | lrm: 1.00 | dt: 753ms | tok/sec: 87,068 | mfu: 4.4% | epoch: 1 | remaining: 282s    
step 00035 (6.0%) | loss: 5.531211 | lrm: 1.00 | dt: 753ms | tok/sec: 87,027 | mfu: 4.4% | epoch: 1 | remaining: 281s    
step 00036 (6.3%) | loss: 5.506518 | lrm: 1.00 | dt: 753ms | tok/sec: 87,069 | mfu: 4.4% | epoch: 1 | remaining: 280s    
step 00037 (6.5%) | loss: 5.484001 | lrm: 1.00 | dt: 753ms | tok/sec: 87,041 | mfu: 4.4% | epoch: 1 | remaining: 280s    
step 00038 (6.8%) | loss: 5.457935 | lrm: 1.00 | dt: 753ms | tok/sec: 87,030 | mfu: 4.4% | epoch: 1 | remaining: 279s    
step 00039 (7.0%) | loss: 5.430280 | lrm: 1.00 | dt: 753ms | tok/sec: 87,011 | mfu: 4.4% | epoch: 1 | remaining: 278s    
step 00040 (7.3%) | loss: 5.412161 | lrm: 1.00 | dt: 753ms | tok/sec: 87,051 | mfu: 4.4% | epoch: 1 | remaining: 277s    
step 00041 (7.5%) | loss: 5.399305 | lrm: 1.00 | dt: 753ms | tok/sec: 87,054 | mfu: 4.4% | epoch: 1 | remaining: 277s    
step 00042 (7.8%) | loss: 5.385525 | lrm: 1.00 | dt: 753ms | tok/sec: 87,036 | mfu: 4.4% | epoch: 1 | remaining: 276s    
step 00043 (8.0%) | loss: 5.376835 | lrm: 1.00 | dt: 753ms | tok/sec: 87,050 | mfu: 4.4% | epoch: 1 | remaining: 275s    
step 00044 (8.3%) | loss: 5.364910 | lrm: 1.00 | dt: 753ms | tok/sec: 87,020 | mfu: 4.4% | epoch: 1 | remaining: 274s    
step 00045 (8.6%) | loss: 5.340960 | lrm: 1.00 | dt: 753ms | tok/sec: 87,052 | mfu: 4.4% | epoch: 1 | remaining: 274s    
step 00046 (8.8%) | loss: 5.325056 | lrm: 1.00 | dt: 753ms | tok/sec: 87,032 | mfu: 4.4% | epoch: 1 | remaining: 273s    
step 00047 (9.1%) | loss: 5.303384 | lrm: 1.00 | dt: 753ms | tok/sec: 87,046 | mfu: 4.4% | epoch: 1 | remaining: 272s    
step 00048 (9.3%) | loss: 5.273631 | lrm: 1.00 | dt: 753ms | tok/sec: 87,056 | mfu: 4.4% | epoch: 1 | remaining: 271s    
step 00049 (9.6%) | loss: 5.251556 | lrm: 1.00 | dt: 753ms | tok/sec: 87,051 | mfu: 4.4% | epoch: 1 | remaining: 271s    
step 00050 (9.8%) | loss: 5.228555 | lrm: 1.00 | dt: 771ms | tok/sec: 85,023 | mfu: 4.3% | epoch: 1 | remaining: 270s    
step 00051 (10.1%) | loss: 5.201042 | lrm: 1.00 | dt: 793ms | tok/sec: 82,661 | mfu: 4.2% | epoch: 1 | remaining: 269s    
step 00052 (10.3%) | loss: 5.184779 | lrm: 1.00 | dt: 754ms | tok/sec: 86,943 | mfu: 4.4% | epoch: 1 | remaining: 268s    
step 00053 (10.6%) | loss: 5.161101 | lrm: 1.00 | dt: 753ms | tok/sec: 87,047 | mfu: 4.4% | epoch: 1 | remaining: 268s    
step 00054 (10.8%) | loss: 5.154045 | lrm: 1.00 | dt: 753ms | tok/sec: 87,012 | mfu: 4.4% | epoch: 1 | remaining: 267s    
step 00055 (11.1%) | loss: 5.133570 | lrm: 1.00 | dt: 753ms | tok/sec: 87,033 | mfu: 4.4% | epoch: 1 | remaining: 266s    
step 00056 (11.3%) | loss: 5.125896 | lrm: 1.00 | dt: 753ms | tok/sec: 87,051 | mfu: 4.4% | epoch: 1 | remaining: 265s    
step 00057 (11.6%) | loss: 5.107963 | lrm: 1.00 | dt: 753ms | tok/sec: 87,047 | mfu: 4.4% | epoch: 1 | remaining: 265s    
step 00058 (11.8%) | loss: 5.092007 | lrm: 1.00 | dt: 753ms | tok/sec: 87,050 | mfu: 4.4% | epoch: 1 | remaining: 264s    
step 00059 (12.1%) | loss: 5.077776 | lrm: 1.00 | dt: 753ms | tok/sec: 87,047 | mfu: 4.4% | epoch: 1 | remaining: 263s    
step 00060 (12.3%) | loss: 5.058904 | lrm: 1.00 | dt: 753ms | tok/sec: 87,046 | mfu: 4.4% | epoch: 1 | remaining: 262s    
step 00061 (12.6%) | loss: 5.041870 | lrm: 1.00 | dt: 753ms | tok/sec: 87,047 | mfu: 4.4% | epoch: 1 | remaining: 261s    
step 00062 (12.8%) | loss: 5.022353 | lrm: 1.00 | dt: 753ms | tok/sec: 87,040 | mfu: 4.4% | epoch: 1 | remaining: 261s    
step 00063 (13.1%) | loss: 5.007319 | lrm: 1.00 | dt: 753ms | tok/sec: 86,986 | mfu: 4.4% | epoch: 1 | remaining: 260s    
step 00064 (13.3%) | loss: 4.986120 | lrm: 1.00 | dt: 753ms | tok/sec: 87,019 | mfu: 4.4% | epoch: 1 | remaining: 259s    
step 00065 (13.6%) | loss: 4.958531 | lrm: 1.00 | dt: 753ms | tok/sec: 87,009 | mfu: 4.4% | epoch: 1 | remaining: 258s    
step 00066 (13.8%) | loss: 4.936097 | lrm: 1.00 | dt: 753ms | tok/sec: 87,044 | mfu: 4.4% | epoch: 1 | remaining: 258s    
step 00067 (14.1%) | loss: 4.926467 | lrm: 1.00 | dt: 753ms | tok/sec: 87,042 | mfu: 4.4% | epoch: 1 | remaining: 257s    
step 00068 (14.3%) | loss: 4.908960 | lrm: 1.00 | dt: 753ms | tok/sec: 87,043 | mfu: 4.4% | epoch: 1 | remaining: 256s    
step 00069 (14.6%) | loss: 4.879770 | lrm: 1.00 | dt: 753ms | tok/sec: 87,023 | mfu: 4.4% | epoch: 1 | remaining: 255s    
step 00070 (14.8%) | loss: 4.859848 | lrm: 1.00 | dt: 753ms | tok/sec: 87,029 | mfu: 4.4% | epoch: 1 | remaining: 255s    
step 00071 (15.1%) | loss: 4.843940 | lrm: 1.00 | dt: 753ms | tok/sec: 87,029 | mfu: 4.4% | epoch: 1 | remaining: 254s    
step 00072 (15.3%) | loss: 4.829071 | lrm: 1.00 | dt: 753ms | tok/sec: 87,029 | mfu: 4.4% | epoch: 1 | remaining: 253s    
step 00073 (15.6%) | loss: 4.815322 | lrm: 1.00 | dt: 757ms | tok/sec: 86,621 | mfu: 4.4% | epoch: 1 | remaining: 252s    
step 00074 (15.8%) | loss: 4.801450 | lrm: 1.00 | dt: 807ms | tok/sec: 81,219 | mfu: 4.1% | epoch: 1 | remaining: 252s    
step 00075 (16.1%) | loss: 4.781732 | lrm: 1.00 | dt: 754ms | tok/sec: 86,957 | mfu: 4.4% | epoch: 1 | remaining: 251s    
step 00076 (16.4%) | loss: 4.765613 | lrm: 1.00 | dt: 754ms | tok/sec: 86,919 | mfu: 4.4% | epoch: 1 | remaining: 250s    
step 00077 (16.6%) | loss: 4.751584 | lrm: 1.00 | dt: 753ms | tok/sec: 87,011 | mfu: 4.4% | epoch: 1 | remaining: 249s    
step 00078 (16.9%) | loss: 4.737231 | lrm: 1.00 | dt: 753ms | tok/sec: 87,014 | mfu: 4.4% | epoch: 1 | remaining: 249s    
step 00079 (17.1%) | loss: 4.718475 | lrm: 1.00 | dt: 753ms | tok/sec: 87,031 | mfu: 4.4% | epoch: 1 | remaining: 248s    
step 00080 (17.4%) | loss: 4.710743 | lrm: 1.00 | dt: 753ms | tok/sec: 87,030 | mfu: 4.4% | epoch: 1 | remaining: 247s    
step 00081 (17.6%) | loss: 4.687668 | lrm: 1.00 | dt: 753ms | tok/sec: 87,043 | mfu: 4.4% | epoch: 1 | remaining: 246s    
step 00082 (17.9%) | loss: 4.665535 | lrm: 1.00 | dt: 753ms | tok/sec: 87,008 | mfu: 4.4% | epoch: 1 | remaining: 246s    
step 00083 (18.1%) | loss: 4.655562 | lrm: 1.00 | dt: 753ms | tok/sec: 87,026 | mfu: 4.4% | epoch: 1 | remaining: 245s    
step 00084 (18.4%) | loss: 4.632312 | lrm: 1.00 | dt: 753ms | tok/sec: 87,018 | mfu: 4.4% | epoch: 1 | remaining: 244s    
step 00085 (18.6%) | loss: 4.620353 | lrm: 1.00 | dt: 753ms | tok/sec: 87,029 | mfu: 4.4% | epoch: 1 | remaining: 243s    
step 00086 (18.9%) | loss: 4.601653 | lrm: 1.00 | dt: 753ms | tok/sec: 87,032 | mfu: 4.4% | epoch: 1 | remaining: 243s    
step 00087 (19.1%) | loss: 4.582703 | lrm: 1.00 | dt: 753ms | tok/sec: 87,036 | mfu: 4.4% | epoch: 1 | remaining: 242s    
step 00088 (19.4%) | loss: 4.568757 | lrm: 1.00 | dt: 753ms | tok/sec: 87,026 | mfu: 4.4% | epoch: 1 | remaining: 241s    
step 00089 (19.6%) | loss: 4.544520 | lrm: 1.00 | dt: 753ms | tok/sec: 87,023 | mfu: 4.4% | epoch: 1 | remaining: 240s    
step 00090 (19.9%) | loss: 4.527809 | lrm: 1.00 | dt: 753ms | tok/sec: 87,027 | mfu: 4.4% | epoch: 1 | remaining: 240s    
step 00091 (20.1%) | loss: 4.519116 | lrm: 1.00 | dt: 753ms | tok/sec: 87,007 | mfu: 4.4% | epoch: 1 | remaining: 239s    
step 00092 (20.4%) | loss: 4.500432 | lrm: 1.00 | dt: 754ms | tok/sec: 86,961 | mfu: 4.4% | epoch: 1 | remaining: 238s    
step 00093 (20.6%) | loss: 4.487418 | lrm: 1.00 | dt: 753ms | tok/sec: 87,025 | mfu: 4.4% | epoch: 1 | remaining: 237s    
step 00094 (20.9%) | loss: 4.476055 | lrm: 1.00 | dt: 753ms | tok/sec: 87,020 | mfu: 4.4% | epoch: 1 | remaining: 237s    
step 00095 (21.1%) | loss: 4.465451 | lrm: 1.00 | dt: 753ms | tok/sec: 87,027 | mfu: 4.4% | epoch: 1 | remaining: 236s    
step 00096 (21.4%) | loss: 4.452941 | lrm: 1.00 | dt: 753ms | tok/sec: 87,005 | mfu: 4.4% | epoch: 1 | remaining: 235s    
step 00097 (21.6%) | loss: 4.448922 | lrm: 1.00 | dt: 811ms | tok/sec: 80,834 | mfu: 4.1% | epoch: 1 | remaining: 234s    
step 00098 (21.9%) | loss: 4.429796 | lrm: 1.00 | dt: 754ms | tok/sec: 86,868 | mfu: 4.4% | epoch: 1 | remaining: 234s    
step 00099 (22.2%) | loss: 4.427488 | lrm: 1.00 | dt: 753ms | tok/sec: 87,021 | mfu: 4.4% | epoch: 1 | remaining: 233s    
step 00100 (22.4%) | loss: 4.410798 | lrm: 1.00 | dt: 753ms | tok/sec: 87,023 | mfu: 4.4% | epoch: 1 | remaining: 232s    
step 00101 (22.7%) | loss: 4.405903 | lrm: 1.00 | dt: 753ms | tok/sec: 86,988 | mfu: 4.4% | epoch: 1 | remaining: 231s    
step 00102 (22.9%) | loss: 4.399023 | lrm: 1.00 | dt: 753ms | tok/sec: 87,021 | mfu: 4.4% | epoch: 1 | remaining: 230s    
step 00103 (23.2%) | loss: 4.373882 | lrm: 1.00 | dt: 753ms | tok/sec: 87,018 | mfu: 4.4% | epoch: 1 | remaining: 230s    
step 00104 (23.4%) | loss: 4.372318 | lrm: 1.00 | dt: 753ms | tok/sec: 87,004 | mfu: 4.4% | epoch: 1 | remaining: 229s    
step 00105 (23.7%) | loss: 4.344342 | lrm: 1.00 | dt: 753ms | tok/sec: 86,999 | mfu: 4.4% | epoch: 1 | remaining: 228s    
step 00106 (23.9%) | loss: 4.326818 | lrm: 1.00 | dt: 753ms | tok/sec: 87,022 | mfu: 4.4% | epoch: 1 | remaining: 227s    
step 00107 (24.2%) | loss: 4.316838 | lrm: 1.00 | dt: 753ms | tok/sec: 87,040 | mfu: 4.4% | epoch: 1 | remaining: 227s    
step 00108 (24.4%) | loss: 4.306811 | lrm: 1.00 | dt: 753ms | tok/sec: 87,024 | mfu: 4.4% | epoch: 1 | remaining: 226s    
step 00109 (24.7%) | loss: 4.291182 | lrm: 1.00 | dt: 753ms | tok/sec: 87,031 | mfu: 4.4% | epoch: 1 | remaining: 225s    
step 00110 (24.9%) | loss: 4.285298 | lrm: 1.00 | dt: 753ms | tok/sec: 87,031 | mfu: 4.4% | epoch: 1 | remaining: 224s    
step 00111 (25.2%) | loss: 4.271106 | lrm: 1.00 | dt: 753ms | tok/sec: 87,004 | mfu: 4.4% | epoch: 1 | remaining: 224s    
step 00112 (25.4%) | loss: 4.256452 | lrm: 1.00 | dt: 753ms | tok/sec: 87,032 | mfu: 4.4% | epoch: 1 | remaining: 223s    
step 00113 (25.7%) | loss: 4.247195 | lrm: 1.00 | dt: 753ms | tok/sec: 87,023 | mfu: 4.4% | epoch: 1 | remaining: 222s    
step 00114 (25.9%) | loss: 4.241562 | lrm: 1.00 | dt: 753ms | tok/sec: 87,027 | mfu: 4.4% | epoch: 1 | remaining: 221s    
step 00115 (26.2%) | loss: 4.219600 | lrm: 1.00 | dt: 753ms | tok/sec: 87,036 | mfu: 4.4% | epoch: 1 | remaining: 221s    
step 00116 (26.4%) | loss: 4.209934 | lrm: 1.00 | dt: 753ms | tok/sec: 87,011 | mfu: 4.4% | epoch: 1 | remaining: 220s    
step 00117 (26.7%) | loss: 4.194541 | lrm: 1.00 | dt: 753ms | tok/sec: 87,000 | mfu: 4.4% | epoch: 1 | remaining: 219s    
step 00118 (26.9%) | loss: 4.180055 | lrm: 1.00 | dt: 753ms | tok/sec: 86,995 | mfu: 4.4% | epoch: 1 | remaining: 218s    
step 00119 (27.2%) | loss: 4.168195 | lrm: 1.00 | dt: 753ms | tok/sec: 87,002 | mfu: 4.4% | epoch: 1 | remaining: 218s    
step 00120 (27.4%) | loss: 4.154384 | lrm: 1.00 | dt: 806ms | tok/sec: 81,333 | mfu: 4.1% | epoch: 1 | remaining: 217s    
step 00121 (27.7%) | loss: 4.142369 | lrm: 1.00 | dt: 754ms | tok/sec: 86,913 | mfu: 4.4% | epoch: 1 | remaining: 216s    
step 00122 (28.0%) | loss: 4.137402 | lrm: 1.00 | dt: 753ms | tok/sec: 86,998 | mfu: 4.4% | epoch: 1 | remaining: 215s    
step 00123 (28.2%) | loss: 4.131215 | lrm: 1.00 | dt: 753ms | tok/sec: 87,017 | mfu: 4.4% | epoch: 1 | remaining: 215s    
step 00124 (28.5%) | loss: 4.117683 | lrm: 1.00 | dt: 753ms | tok/sec: 87,014 | mfu: 4.4% | epoch: 1 | remaining: 214s    
step 00125 (28.7%) | loss: 4.115870 | lrm: 1.00 | dt: 753ms | tok/sec: 87,006 | mfu: 4.4% | epoch: 1 | remaining: 213s    
step 00126 (29.0%) | loss: 4.110232 | lrm: 1.00 | dt: 753ms | tok/sec: 87,019 | mfu: 4.4% | epoch: 1 | remaining: 212s    
step 00127 (29.2%) | loss: 4.103208 | lrm: 1.00 | dt: 753ms | tok/sec: 87,015 | mfu: 4.4% | epoch: 1 | remaining: 212s    
step 00128 (29.5%) | loss: 4.091142 | lrm: 1.00 | dt: 753ms | tok/sec: 87,022 | mfu: 4.4% | epoch: 1 | remaining: 211s    
step 00129 (29.7%) | loss: 4.092585 | lrm: 1.00 | dt: 753ms | tok/sec: 87,022 | mfu: 4.4% | epoch: 1 | remaining: 210s    
step 00130 (30.0%) | loss: 4.095157 | lrm: 1.00 | dt: 754ms | tok/sec: 86,965 | mfu: 4.4% | epoch: 1 | remaining: 209s    
step 00131 (30.2%) | loss: 4.085163 | lrm: 1.00 | dt: 753ms | tok/sec: 87,003 | mfu: 4.4% | epoch: 1 | remaining: 209s    
step 00132 (30.5%) | loss: 4.083504 | lrm: 1.00 | dt: 753ms | tok/sec: 87,013 | mfu: 4.4% | epoch: 1 | remaining: 208s    
step 00133 (30.7%) | loss: 4.071229 | lrm: 1.00 | dt: 753ms | tok/sec: 87,020 | mfu: 4.4% | epoch: 1 | remaining: 207s    
step 00134 (31.0%) | loss: 4.061389 | lrm: 1.00 | dt: 753ms | tok/sec: 87,028 | mfu: 4.4% | epoch: 1 | remaining: 206s    
step 00135 (31.2%) | loss: 4.047541 | lrm: 1.00 | dt: 753ms | tok/sec: 87,015 | mfu: 4.4% | epoch: 1 | remaining: 206s    
step 00136 (31.5%) | loss: 4.037072 | lrm: 1.00 | dt: 753ms | tok/sec: 87,004 | mfu: 4.4% | epoch: 1 | remaining: 205s    
step 00137 (31.7%) | loss: 4.037488 | lrm: 1.00 | dt: 753ms | tok/sec: 87,023 | mfu: 4.4% | epoch: 1 | remaining: 204s    
step 00138 (32.0%) | loss: 4.030441 | lrm: 1.00 | dt: 753ms | tok/sec: 87,029 | mfu: 4.4% | epoch: 1 | remaining: 203s    
step 00139 (32.2%) | loss: 4.022333 | lrm: 1.00 | dt: 753ms | tok/sec: 86,981 | mfu: 4.4% | epoch: 1 | remaining: 203s    
step 00140 (32.5%) | loss: 4.006756 | lrm: 1.00 | dt: 753ms | tok/sec: 87,011 | mfu: 4.4% | epoch: 1 | remaining: 202s    
step 00141 (32.7%) | loss: 4.001304 | lrm: 1.00 | dt: 753ms | tok/sec: 86,991 | mfu: 4.4% | epoch: 1 | remaining: 201s    
step 00142 (33.0%) | loss: 3.980584 | lrm: 1.00 | dt: 753ms | tok/sec: 87,002 | mfu: 4.4% | epoch: 1 | remaining: 200s    
step 00143 (33.2%) | loss: 3.957108 | lrm: 1.00 | dt: 798ms | tok/sec: 82,137 | mfu: 4.2% | epoch: 1 | remaining: 200s    
step 00144 (33.5%) | loss: 3.953337 | lrm: 1.00 | dt: 765ms | tok/sec: 85,690 | mfu: 4.4% | epoch: 1 | remaining: 199s    
step 00145 (33.7%) | loss: 3.943111 | lrm: 1.00 | dt: 754ms | tok/sec: 86,931 | mfu: 4.4% | epoch: 1 | remaining: 198s    
step 00146 (34.0%) | loss: 3.932177 | lrm: 1.00 | dt: 753ms | tok/sec: 87,009 | mfu: 4.4% | epoch: 1 | remaining: 197s    
step 00147 (34.3%) | loss: 3.935559 | lrm: 1.00 | dt: 753ms | tok/sec: 87,016 | mfu: 4.4% | epoch: 1 | remaining: 196s    
step 00148 (34.5%) | loss: 3.946777 | lrm: 1.00 | dt: 753ms | tok/sec: 87,013 | mfu: 4.4% | epoch: 1 | remaining: 196s    
step 00149 (34.8%) | loss: 3.950454 | lrm: 1.00 | dt: 754ms | tok/sec: 86,974 | mfu: 4.4% | epoch: 1 | remaining: 195s    
step 00150 (35.0%) | loss: 3.941385 | lrm: 1.00 | dt: 753ms | tok/sec: 87,003 | mfu: 4.4% | epoch: 1 | remaining: 194s    
step 00151 (35.3%) | loss: 3.947018 | lrm: 1.00 | dt: 753ms | tok/sec: 87,014 | mfu: 4.4% | epoch: 1 | remaining: 193s    
step 00152 (35.5%) | loss: 3.942021 | lrm: 1.00 | dt: 753ms | tok/sec: 86,999 | mfu: 4.4% | epoch: 1 | remaining: 193s    
step 00153 (35.8%) | loss: 3.940013 | lrm: 1.00 | dt: 753ms | tok/sec: 87,013 | mfu: 4.4% | epoch: 1 | remaining: 192s    
step 00154 (36.0%) | loss: 3.932095 | lrm: 1.00 | dt: 753ms | tok/sec: 87,014 | mfu: 4.4% | epoch: 1 | remaining: 191s    
step 00155 (36.3%) | loss: 3.931797 | lrm: 1.00 | dt: 753ms | tok/sec: 87,017 | mfu: 4.4% | epoch: 1 | remaining: 190s    
