MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: starting...
MDLM: config layers=8 dim=576 unique_layers=0
MDLM: compiling newton-schulz...
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM: newton-schulz compiled
MDLM Diffusion Training | num_unique_layers=0
Running PyTorch 2.11.0+cu130
val tokens:62021632 sequences:60568
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model compiled
MDLM: model compiled
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model created, 19,190,656 params. Compiling model...
MDLM: model compiled
MDLM: model compiled
MDLM: model compiled
MDLM: model compiled
MDLM: model compiled
MDLM: model compiled
model_params:19190656
world_size:8 grad_accum_steps:1
layers:8 dim:576 heads:8 kv_heads:4 mlp_mult:2
mask_eps:0.001 eval_t_samples:64 grad_clip:1.0 weight_clamp:100.0
step:700/80000 train_loss:3.1110 train_time:45508ms step_avg:65.01ms
step:750/80000 train_loss:3.0523 train_time:48719ms step_avg:64.96ms
step:800/80000 train_loss:3.0442 train_time:52026ms step_avg:65.03ms
step:850/80000 train_loss:3.8643 train_time:55208ms step_avg:64.95ms
step:900/80000 train_loss:3.0698 train_time:58388ms step_avg:64.88ms
step:950/80000 train_loss:3.0520 train_time:61674ms step_avg:64.92ms
step:1000/80000 train_loss:3.0381 train_time:65092ms step_avg:65.09ms
step:1050/80000 train_loss:3.0873 train_time:68270ms step_avg:65.02ms
step:1100/80000 train_loss:2.8653 train_time:71456ms step_avg:64.96ms
step:1150/80000 train_loss:2.9217 train_time:74765ms step_avg:65.01ms
step:1200/80000 train_loss:3.1064 train_time:77952ms step_avg:64.96ms
step:1250/80000 train_loss:2.8556 train_time:81143ms step_avg:64.91ms
step:1300/80000 train_loss:3.0511 train_time:84329ms step_avg:64.87ms
step:1350/80000 train_loss:2.9102 train_time:87625ms step_avg:64.91ms
step:1400/80000 train_loss:3.0373 train_time:90825ms step_avg:64.88ms
step:1450/80000 train_loss:2.8585 train_time:94032ms step_avg:64.85ms
step:1500/80000 train_loss:2.8500 train_time:97220ms step_avg:64.81ms
step:1550/80000 train_loss:2.7118 train_time:100527ms step_avg:64.86ms
step:1600/80000 train_loss:2.7661 train_time:103713ms step_avg:64.82ms
step:1650/80000 train_loss:2.8442 train_time:106926ms step_avg:64.80ms
step:1700/80000 train_loss:2.8153 train_time:110105ms step_avg:64.77ms
step:1750/80000 train_loss:2.9118 train_time:113423ms step_avg:64.81ms
step:1800/80000 train_loss:2.8141 train_time:116615ms step_avg:64.79ms
step:1850/80000 train_loss:2.9035 train_time:119848ms step_avg:64.78ms
step:1900/80000 train_loss:2.8861 train_time:123037ms step_avg:64.76ms
step:1950/80000 train_loss:2.8026 train_time:126356ms step_avg:64.80ms
step:2000/80000 train_loss:2.8460 train_time:129541ms step_avg:64.77ms
step:2050/80000 train_loss:2.8252 train_time:132740ms step_avg:64.75ms
step:2100/80000 train_loss:2.8373 train_time:136066ms step_avg:64.79ms
step:2150/80000 train_loss:2.8122 train_time:139239ms step_avg:64.76ms
step:2200/80000 train_loss:2.7049 train_time:142425ms step_avg:64.74ms
step:2250/80000 train_loss:2.7757 train_time:145617ms step_avg:64.72ms
step:2300/80000 train_loss:2.9745 train_time:148920ms step_avg:64.75ms
step:2350/80000 train_loss:2.7782 train_time:152130ms step_avg:64.74ms
step:2400/80000 train_loss:2.6773 train_time:155297ms step_avg:64.71ms
step:2450/80000 train_loss:2.6372 train_time:158498ms step_avg:64.69ms
step:2500/80000 train_loss:2.7430 train_time:161918ms step_avg:64.77ms
step:2550/80000 train_loss:2.8309 train_time:165127ms step_avg:64.76ms
step:2600/80000 train_loss:3.0389 train_time:168326ms step_avg:64.74ms
step:2650/80000 train_loss:2.7963 train_time:171530ms step_avg:64.73ms
step:2700/80000 train_loss:2.6771 train_time:174834ms step_avg:64.75ms
step:2750/80000 train_loss:2.8400 train_time:178010ms step_avg:64.73ms
step:2800/80000 train_loss:2.8740 train_time:181204ms step_avg:64.72ms
step:2850/80000 train_loss:2.7481 train_time:184398ms step_avg:64.70ms
step:2900/80000 train_loss:2.8836 train_time:187690ms step_avg:64.72ms
step:2950/80000 train_loss:2.7547 train_time:190869ms step_avg:64.70ms
step:3000/80000 train_loss:2.8851 train_time:194052ms step_avg:64.68ms
step:3050/80000 train_loss:2.7482 train_time:197225ms step_avg:64.66ms
step:3100/80000 train_loss:2.6892 train_time:200547ms step_avg:64.69ms
step:3150/80000 train_loss:2.6901 train_time:203750ms step_avg:64.68ms
step:3200/80000 train_loss:2.7341 train_time:206929ms step_avg:64.67ms
step:3250/80000 train_loss:2.7988 train_time:210244ms step_avg:64.69ms
step:3300/80000 train_loss:2.8420 train_time:213452ms step_avg:64.68ms
step:3350/80000 train_loss:2.6635 train_time:216623ms step_avg:64.66ms
step:3400/80000 train_loss:2.7368 train_time:219792ms step_avg:64.64ms
step:3450/80000 train_loss:2.7044 train_time:223072ms step_avg:64.66ms
step:3500/80000 train_loss:2.9956 train_time:226266ms step_avg:64.65ms
step:3550/80000 train_loss:2.8602 train_time:229462ms step_avg:64.64ms
step:3600/80000 train_loss:2.7914 train_time:232645ms step_avg:64.62ms
step:3650/80000 train_loss:2.7578 train_time:235942ms step_avg:64.64ms
step:3700/80000 train_loss:2.8193 train_time:239129ms step_avg:64.63ms
step:3750/80000 train_loss:2.7965 train_time:242315ms step_avg:64.62ms
step:3800/80000 train_loss:2.7582 train_time:245498ms step_avg:64.60ms
step:3850/80000 train_loss:2.7267 train_time:248821ms step_avg:64.63ms
step:3900/80000 train_loss:2.7546 train_time:252029ms step_avg:64.62ms
step:3950/80000 train_loss:2.7408 train_time:255238ms step_avg:64.62ms
step:4000/80000 train_loss:2.7353 train_time:258429ms step_avg:64.61ms
step:4000/80000 val_loss:7.0396 val_bpb:4.2235 train_time:258473ms step_avg:64.62ms
step:4050/80000 train_loss:2.7258 train_time:261752ms step_avg:64.63ms
step:4100/80000 train_loss:2.7787 train_time:264952ms step_avg:64.62ms
step:4150/80000 train_loss:2.6778 train_time:268126ms step_avg:64.61ms
step:4200/80000 train_loss:2.7689 train_time:271414ms step_avg:64.62ms
step:4250/80000 train_loss:2.6776 train_time:274602ms step_avg:64.61ms
step:4300/80000 train_loss:2.5934 train_time:277813ms step_avg:64.61ms
step:4350/80000 train_loss:2.8678 train_time:280984ms step_avg:64.59ms
step:4400/80000 train_loss:2.6926 train_time:284266ms step_avg:64.61ms
step:4450/80000 train_loss:2.5039 train_time:287454ms step_avg:64.60ms
step:4500/80000 train_loss:2.7811 train_time:290627ms step_avg:64.58ms
step:4550/80000 train_loss:2.6214 train_time:293830ms step_avg:64.58ms
step:4600/80000 train_loss:2.6306 train_time:297121ms step_avg:64.59ms
step:4650/80000 train_loss:2.8494 train_time:300288ms step_avg:64.58ms
step:4700/80000 train_loss:2.6934 train_time:303473ms step_avg:64.57ms
step:4750/80000 train_loss:2.5808 train_time:306645ms step_avg:64.56ms
step:4800/80000 train_loss:2.7009 train_time:309956ms step_avg:64.57ms
step:4850/80000 train_loss:2.7733 train_time:313130ms step_avg:64.56ms
step:4900/80000 train_loss:2.7264 train_time:316327ms step_avg:64.56ms
step:4950/80000 train_loss:2.6280 train_time:319488ms step_avg:64.54ms
step:5000/80000 train_loss:2.7111 train_time:322842ms step_avg:64.57ms
step:5050/80000 train_loss:2.7801 train_time:326133ms step_avg:64.58ms
step:5100/80000 train_loss:2.7401 train_time:329337ms step_avg:64.58ms
step:5150/80000 train_loss:2.8394 train_time:332651ms step_avg:64.59ms
step:5200/80000 train_loss:2.6604 train_time:335815ms step_avg:64.58ms
step:5250/80000 train_loss:2.6939 train_time:338991ms step_avg:64.57ms
step:5300/80000 train_loss:2.8302 train_time:342165ms step_avg:64.56ms
step:5350/80000 train_loss:2.6425 train_time:345479ms step_avg:64.58ms
step:5400/80000 train_loss:2.7329 train_time:348678ms step_avg:64.57ms
step:5450/80000 train_loss:2.6577 train_time:351881ms step_avg:64.57ms
step:5500/80000 train_loss:2.6217 train_time:355028ms step_avg:64.55ms
step:5550/80000 train_loss:2.6516 train_time:358351ms step_avg:64.57ms
step:5600/80000 train_loss:2.8492 train_time:361552ms step_avg:64.56ms
step:5650/80000 train_loss:2.5935 train_time:364735ms step_avg:64.55ms
step:5700/80000 train_loss:2.7254 train_time:367909ms step_avg:64.55ms
step:5750/80000 train_loss:2.6853 train_time:371219ms step_avg:64.56ms
step:5800/80000 train_loss:2.7730 train_time:374414ms step_avg:64.55ms
step:5850/80000 train_loss:2.6879 train_time:377604ms step_avg:64.55ms
step:5900/80000 train_loss:2.6411 train_time:380802ms step_avg:64.54ms
step:5950/80000 train_loss:2.7157 train_time:384116ms step_avg:64.56ms
step:6000/80000 train_loss:2.7027 train_time:387305ms step_avg:64.55ms
step:6050/80000 train_loss:2.7064 train_time:390494ms step_avg:64.54ms
step:6100/80000 train_loss:2.6508 train_time:393675ms step_avg:64.54ms
step:6150/80000 train_loss:2.6490 train_time:396995ms step_avg:64.55ms
step:6200/80000 train_loss:2.8776 train_time:400194ms step_avg:64.55ms
step:6250/80000 train_loss:2.6053 train_time:403375ms step_avg:64.54ms
step:6300/80000 train_loss:2.5250 train_time:406705ms step_avg:64.56ms
step:6350/80000 train_loss:2.6618 train_time:409860ms step_avg:64.54ms
step:6400/80000 train_loss:2.6702 train_time:413035ms step_avg:64.54ms
step:6450/80000 train_loss:2.6900 train_time:416217ms step_avg:64.53ms
step:6500/80000 train_loss:2.6988 train_time:419510ms step_avg:64.54ms
step:6550/80000 train_loss:2.7803 train_time:422668ms step_avg:64.53ms
step:6600/80000 train_loss:2.6776 train_time:425833ms step_avg:64.52ms
step:6650/80000 train_loss:2.7538 train_time:429012ms step_avg:64.51ms
step:6700/80000 train_loss:2.7477 train_time:432331ms step_avg:64.53ms
step:6750/80000 train_loss:2.7564 train_time:435524ms step_avg:64.52ms
step:6800/80000 train_loss:2.5035 train_time:438683ms step_avg:64.51ms
step:6850/80000 train_loss:2.6513 train_time:441875ms step_avg:64.51ms
step:6900/80000 train_loss:2.6177 train_time:445180ms step_avg:64.52ms
step:6950/80000 train_loss:2.6568 train_time:448362ms step_avg:64.51ms
step:7000/80000 train_loss:2.6499 train_time:451525ms step_avg:64.50ms
step:7050/80000 train_loss:2.6695 train_time:454690ms step_avg:64.50ms
step:7100/80000 train_loss:2.6041 train_time:458002ms step_avg:64.51ms
step:7150/80000 train_loss:2.6031 train_time:461177ms step_avg:64.50ms
step:7200/80000 train_loss:2.6923 train_time:464355ms step_avg:64.49ms
step:7250/80000 train_loss:2.6623 train_time:467651ms step_avg:64.50ms
step:7300/80000 train_loss:2.6395 train_time:470812ms step_avg:64.49ms
step:7350/80000 train_loss:2.8094 train_time:474006ms step_avg:64.49ms
step:7400/80000 train_loss:2.6117 train_time:477211ms step_avg:64.49ms
step:7450/80000 train_loss:2.5657 train_time:480539ms step_avg:64.50ms
step:7500/80000 train_loss:2.6457 train_time:483751ms step_avg:64.50ms
step:7550/80000 train_loss:2.8268 train_time:486930ms step_avg:64.49ms
step:7600/80000 train_loss:2.4905 train_time:490100ms step_avg:64.49ms
step:7650/80000 train_loss:3.1614 train_time:493395ms step_avg:64.50ms
step:7700/80000 train_loss:2.6258 train_time:496597ms step_avg:64.49ms
step:7750/80000 train_loss:2.5046 train_time:499789ms step_avg:64.49ms
step:7800/80000 train_loss:2.6703 train_time:502970ms step_avg:64.48ms
step:7850/80000 train_loss:2.6372 train_time:506272ms step_avg:64.49ms
step:7900/80000 train_loss:2.6351 train_time:509441ms step_avg:64.49ms
step:7950/80000 train_loss:2.7110 train_time:512619ms step_avg:64.48ms
step:8000/80000 train_loss:2.6099 train_time:515810ms step_avg:64.48ms
step:8000/80000 val_loss:7.0435 val_bpb:4.2259 train_time:515849ms step_avg:64.48ms
step:8050/80000 train_loss:2.6579 train_time:519134ms step_avg:64.49ms
step:8100/80000 train_loss:2.5777 train_time:522317ms step_avg:64.48ms
step:8150/80000 train_loss:2.5676 train_time:525516ms step_avg:64.48ms
step:8200/80000 train_loss:2.6907 train_time:528717ms step_avg:64.48ms
step:8250/80000 train_loss:2.6236 train_time:532023ms step_avg:64.49ms
step:8300/80000 train_loss:2.6410 train_time:535201ms step_avg:64.48ms
step:8350/80000 train_loss:2.5395 train_time:538354ms step_avg:64.47ms
step:8400/80000 train_loss:2.6198 train_time:541675ms step_avg:64.49ms
step:8450/80000 train_loss:2.6244 train_time:544861ms step_avg:64.48ms
step:8500/80000 train_loss:2.6651 train_time:548034ms step_avg:64.47ms
step:8550/80000 train_loss:2.6534 train_time:551247ms step_avg:64.47ms
step:8600/80000 train_loss:2.6937 train_time:554592ms step_avg:64.49ms
step:8650/80000 train_loss:2.7249 train_time:557786ms step_avg:64.48ms
step:8700/80000 train_loss:2.6708 train_time:560967ms step_avg:64.48ms
step:8750/80000 train_loss:2.6142 train_time:564163ms step_avg:64.48ms
step:8800/80000 train_loss:2.6662 train_time:567485ms step_avg:64.49ms
step:8850/80000 train_loss:2.6508 train_time:570672ms step_avg:64.48ms
step:8900/80000 train_loss:2.6583 train_time:573857ms step_avg:64.48ms
step:8950/80000 train_loss:2.7843 train_time:577052ms step_avg:64.48ms
step:9000/80000 train_loss:2.5364 train_time:580352ms step_avg:64.48ms
step:9050/80000 train_loss:2.6343 train_time:583523ms step_avg:64.48ms
step:9100/80000 train_loss:2.5783 train_time:586719ms step_avg:64.47ms
step:9150/80000 train_loss:2.7017 train_time:589902ms step_avg:64.47ms
step:9200/80000 train_loss:2.6597 train_time:593194ms step_avg:64.48ms
step:9250/80000 train_loss:2.7080 train_time:596364ms step_avg:64.47ms
step:9300/80000 train_loss:2.5861 train_time:599543ms step_avg:64.47ms
step:9350/80000 train_loss:2.4726 train_time:602868ms step_avg:64.48ms
step:9400/80000 train_loss:2.6049 train_time:606038ms step_avg:64.47ms
step:9450/80000 train_loss:2.7100 train_time:609221ms step_avg:64.47ms
step:9500/80000 train_loss:2.7494 train_time:612399ms step_avg:64.46ms
step:9550/80000 train_loss:2.5730 train_time:615710ms step_avg:64.47ms
step:9600/80000 train_loss:2.9040 train_time:618888ms step_avg:64.47ms
step:9650/80000 train_loss:2.6050 train_time:622071ms step_avg:64.46ms
step:9700/80000 train_loss:2.6424 train_time:625268ms step_avg:64.46ms
step:9750/80000 train_loss:2.6928 train_time:628570ms step_avg:64.47ms
step:9800/80000 train_loss:2.6961 train_time:631736ms step_avg:64.46ms
step:9850/80000 train_loss:2.6681 train_time:634924ms step_avg:64.46ms
step:9900/80000 train_loss:2.6082 train_time:638122ms step_avg:64.46ms
step:9950/80000 train_loss:2.6106 train_time:643429ms step_avg:64.67ms
step:10000/80000 train_loss:2.5703 train_time:646626ms step_avg:64.66ms
step:10050/80000 train_loss:2.7557 train_time:649783ms step_avg:64.66ms
step:10100/80000 train_loss:2.6538 train_time:652959ms step_avg:64.65ms
step:10150/80000 train_loss:2.7051 train_time:656440ms step_avg:64.67ms
step:10200/80000 train_loss:2.7355 train_time:659645ms step_avg:64.67ms
step:10250/80000 train_loss:2.8245 train_time:662861ms step_avg:64.67ms
step:10300/80000 train_loss:2.6065 train_time:666910ms step_avg:64.75ms
step:10350/80000 train_loss:2.6250 train_time:670120ms step_avg:64.75ms
step:10400/80000 train_loss:2.4719 train_time:673311ms step_avg:64.74ms
step:10450/80000 train_loss:2.6875 train_time:676482ms step_avg:64.74ms
step:10500/80000 train_loss:2.5156 train_time:680458ms step_avg:64.81ms
step:10550/80000 train_loss:2.4896 train_time:683648ms step_avg:64.80ms
step:10600/80000 train_loss:2.6141 train_time:686849ms step_avg:64.80ms
step:10650/80000 train_loss:2.6918 train_time:690049ms step_avg:64.79ms
step:10700/80000 train_loss:2.6485 train_time:693865ms step_avg:64.85ms
step:10750/80000 train_loss:2.6383 train_time:697036ms step_avg:64.84ms
step:10800/80000 train_loss:2.6427 train_time:700220ms step_avg:64.84ms
step:10850/80000 train_loss:2.6768 train_time:703373ms step_avg:64.83ms
step:10900/80000 train_loss:2.6742 train_time:707233ms step_avg:64.88ms
step:10950/80000 train_loss:2.5493 train_time:710418ms step_avg:64.88ms
step:11000/80000 train_loss:2.6113 train_time:713621ms step_avg:64.87ms
step:11050/80000 train_loss:2.5548 train_time:716815ms step_avg:64.87ms
step:11100/80000 train_loss:2.6310 train_time:720762ms step_avg:64.93ms
step:11150/80000 train_loss:2.6026 train_time:723928ms step_avg:64.93ms
step:11200/80000 train_loss:2.6603 train_time:727118ms step_avg:64.92ms
step:11250/80000 train_loss:2.5988 train_time:730294ms step_avg:64.91ms
step:11300/80000 train_loss:2.6426 train_time:734152ms step_avg:64.97ms
step:11350/80000 train_loss:2.5703 train_time:737351ms step_avg:64.96ms
step:11400/80000 train_loss:2.6363 train_time:740534ms step_avg:64.96ms
step:11450/80000 train_loss:2.5782 train_time:744452ms step_avg:65.02ms
step:11500/80000 train_loss:2.6408 train_time:747627ms step_avg:65.01ms
step:11550/80000 train_loss:2.5030 train_time:750818ms step_avg:65.01ms
step:11600/80000 train_loss:2.5321 train_time:754014ms step_avg:65.00ms
step:11650/80000 train_loss:2.4891 train_time:758270ms step_avg:65.09ms
step:11700/80000 train_loss:2.6528 train_time:761438ms step_avg:65.08ms
step:11750/80000 train_loss:2.6131 train_time:764605ms step_avg:65.07ms
step:11800/80000 train_loss:2.6359 train_time:767787ms step_avg:65.07ms
step:11850/80000 train_loss:2.6507 train_time:771662ms step_avg:65.12ms
step:11900/80000 train_loss:2.6257 train_time:774850ms step_avg:65.11ms
step:11950/80000 train_loss:2.6603 train_time:778022ms step_avg:65.11ms
step:12000/80000 train_loss:2.6541 train_time:781199ms step_avg:65.10ms
step:12000/80000 val_loss:2.6162 val_bpb:1.5696 train_time:781241ms step_avg:65.10ms
step:12050/80000 train_loss:2.8017 train_time:784719ms step_avg:65.12ms
step:12100/80000 train_loss:2.6202 train_time:787896ms step_avg:65.12ms
step:12150/80000 train_loss:2.6589 train_time:791072ms step_avg:65.11ms
step:12200/80000 train_loss:2.6659 train_time:794245ms step_avg:65.10ms
step:12250/80000 train_loss:2.6180 train_time:798109ms step_avg:65.15ms
step:12300/80000 train_loss:2.5148 train_time:801292ms step_avg:65.15ms
step:12350/80000 train_loss:2.6087 train_time:804469ms step_avg:65.14ms
step:12400/80000 train_loss:2.5521 train_time:808458ms step_avg:65.20ms
step:12450/80000 train_loss:3.0475 train_time:811663ms step_avg:65.19ms
step:12500/80000 train_loss:2.6083 train_time:814835ms step_avg:65.19ms
step:12550/80000 train_loss:2.6837 train_time:818026ms step_avg:65.18ms
step:12600/80000 train_loss:2.5412 train_time:821541ms step_avg:65.20ms
step:12650/80000 train_loss:2.6447 train_time:824713ms step_avg:65.19ms
step:12700/80000 train_loss:2.5185 train_time:827879ms step_avg:65.19ms
step:12750/80000 train_loss:2.6323 train_time:831063ms step_avg:65.18ms
step:12800/80000 train_loss:2.5044 train_time:834833ms step_avg:65.22ms
step:12850/80000 train_loss:2.7186 train_time:837988ms step_avg:65.21ms
step:12900/80000 train_loss:2.7707 train_time:841155ms step_avg:65.21ms
step:12950/80000 train_loss:2.6900 train_time:844354ms step_avg:65.20ms
step:13000/80000 train_loss:2.6970 train_time:848342ms step_avg:65.26ms
step:13050/80000 train_loss:2.6029 train_time:851546ms step_avg:65.25ms
step:13100/80000 train_loss:2.5911 train_time:854715ms step_avg:65.25ms
step:13150/80000 train_loss:2.6540 train_time:857894ms step_avg:65.24ms
step:13200/80000 train_loss:2.6558 train_time:862202ms step_avg:65.32ms
step:13250/80000 train_loss:2.6194 train_time:865361ms step_avg:65.31ms
step:13300/80000 train_loss:2.5661 train_time:868526ms step_avg:65.30ms
step:13350/80000 train_loss:2.5711 train_time:871703ms step_avg:65.30ms
step:13400/80000 train_loss:2.5950 train_time:875704ms step_avg:65.35ms
step:13450/80000 train_loss:2.5914 train_time:878894ms step_avg:65.35ms
step:13500/80000 train_loss:2.5280 train_time:882088ms step_avg:65.34ms
step:13550/80000 train_loss:2.7240 train_time:885640ms step_avg:65.36ms
step:13600/80000 train_loss:2.6184 train_time:888817ms step_avg:65.35ms
step:13650/80000 train_loss:2.5665 train_time:892017ms step_avg:65.35ms
step:13700/80000 train_loss:2.5055 train_time:895197ms step_avg:65.34ms
step:13750/80000 train_loss:2.6857 train_time:898972ms step_avg:65.38ms
step:13800/80000 train_loss:2.5917 train_time:902164ms step_avg:65.37ms
step:13850/80000 train_loss:2.5895 train_time:905333ms step_avg:65.37ms
step:13900/80000 train_loss:2.6079 train_time:908507ms step_avg:65.36ms
step:13950/80000 train_loss:2.6671 train_time:912418ms step_avg:65.41ms
step:14000/80000 train_loss:2.5393 train_time:915608ms step_avg:65.40ms
step:14050/80000 train_loss:2.4621 train_time:918780ms step_avg:65.39ms
step:14100/80000 train_loss:2.6455 train_time:921978ms step_avg:65.39ms
step:14150/80000 train_loss:2.5529 train_time:925678ms step_avg:65.42ms
step:14200/80000 train_loss:2.6696 train_time:928846ms step_avg:65.41ms
step:14250/80000 train_loss:2.6747 train_time:932028ms step_avg:65.41ms
step:14300/80000 train_loss:2.5929 train_time:935219ms step_avg:65.40ms
step:14350/80000 train_loss:2.6711 train_time:939018ms step_avg:65.44ms
step:14400/80000 train_loss:2.5587 train_time:942190ms step_avg:65.43ms
step:14450/80000 train_loss:2.7005 train_time:945369ms step_avg:65.42ms
step:14500/80000 train_loss:2.6040 train_time:949224ms step_avg:65.46ms
step:14550/80000 train_loss:2.4683 train_time:952394ms step_avg:65.46ms
step:14600/80000 train_loss:2.5353 train_time:955571ms step_avg:65.45ms
step:14650/80000 train_loss:2.6147 train_time:958762ms step_avg:65.44ms
step:14700/80000 train_loss:2.5339 train_time:962580ms step_avg:65.48ms
step:14750/80000 train_loss:2.5200 train_time:965798ms step_avg:65.48ms
step:14800/80000 train_loss:2.5386 train_time:968992ms step_avg:65.47ms
step:14850/80000 train_loss:2.5772 train_time:972185ms step_avg:65.47ms
step:14900/80000 train_loss:2.6451 train_time:975928ms step_avg:65.50ms
step:14950/80000 train_loss:2.4379 train_time:979111ms step_avg:65.49ms
step:15000/80000 train_loss:2.5401 train_time:982322ms step_avg:65.49ms
step:15050/80000 train_loss:2.5573 train_time:985496ms step_avg:65.48ms
step:15100/80000 train_loss:2.5056 train_time:989134ms step_avg:65.51ms
step:15150/80000 train_loss:2.6078 train_time:992356ms step_avg:65.50ms
step:15200/80000 train_loss:2.5687 train_time:995562ms step_avg:65.50ms
step:15250/80000 train_loss:2.4390 train_time:998740ms step_avg:65.49ms
step:15300/80000 train_loss:2.5196 train_time:1001987ms step_avg:65.49ms
step:15350/80000 train_loss:2.6253 train_time:1005167ms step_avg:65.48ms
step:15400/80000 train_loss:2.4899 train_time:1008370ms step_avg:65.48ms
step:15450/80000 train_loss:2.6919 train_time:1011639ms step_avg:65.48ms
step:15500/80000 train_loss:2.5634 train_time:1014851ms step_avg:65.47ms
step:15550/80000 train_loss:2.5618 train_time:1018042ms step_avg:65.47ms
step:15600/80000 train_loss:2.6504 train_time:1021228ms step_avg:65.46ms
