logs/cuda/skc_h100_s7_20260406_072858.txt
DDP enabled: 8 GPUs find_unused=1
Muon optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.025
params:32003852 L:8 d:512 h:8 kv:4 ws:8 ga:1 s:7
step:0/500000 val_loss:6.9302 val_bpb:4.1719 train_time:0ms zero_frac:0.413
step:20/500000 loss:10.7305 t:4332ms avg:216.6ms
step:1060/500000 loss:3.3003 t:235255ms avg:221.9ms
step:1080/500000 loss:3.3718 t:239962ms avg:222.2ms
step:1100/500000 loss:3.3134 t:244681ms avg:222.4ms
step:1120/500000 loss:3.4067 t:249348ms avg:222.6ms
step:1140/500000 loss:3.3584 t:253996ms avg:222.8ms
step:1160/500000 loss:3.3671 t:258700ms avg:223.0ms
step:1180/500000 loss:3.3381 t:263450ms avg:223.3ms
step:1200/500000 loss:3.4770 t:268115ms avg:223.4ms
step:1220/500000 loss:3.3678 t:272756ms avg:223.6ms
step:1240/500000 loss:3.2898 t:277402ms avg:223.7ms
step:1260/500000 loss:3.3453 t:282022ms avg:223.8ms
step:1280/500000 loss:3.2106 t:286675ms avg:224.0ms
step:1300/500000 loss:3.3687 t:291471ms avg:224.2ms
step:1320/500000 loss:3.5211 t:296792ms avg:224.8ms
step:1340/500000 loss:3.6863 t:302130ms avg:225.5ms
step:1360/500000 loss:3.5349 t:307479ms avg:226.1ms
step:1380/500000 loss:3.4035 t:312798ms avg:226.7ms
step:1400/500000 loss:3.4586 t:318142ms avg:227.2ms
step:1420/500000 loss:3.3264 t:323459ms avg:227.8ms
step:1440/500000 loss:3.3770 t:328792ms avg:228.3ms
step:1460/500000 loss:3.5764 t:334135ms avg:228.9ms
step:1480/500000 loss:3.1645 t:339486ms avg:229.4ms
step:1500/500000 loss:3.3108 t:344831ms avg:229.9ms
step:1500/500000 val_loss:3.0944 val_bpb:1.8628 train_time:344832ms zero_frac:0.470
step:1520/500000 loss:3.2293 t:350160ms avg:230.4ms
step:1540/500000 loss:3.3984 t:355557ms avg:230.9ms
step:1560/500000 loss:3.3994 t:360890ms avg:231.3ms
step:1580/500000 loss:3.2950 t:366228ms avg:231.8ms
step:1600/500000 loss:3.3259 t:371565ms avg:232.2ms
step:1620/500000 loss:3.4679 t:376925ms avg:232.7ms
step:1640/500000 loss:3.2635 t:382310ms avg:233.1ms
step:1660/500000 loss:3.2158 t:387659ms avg:233.5ms
step:1680/500000 loss:3.3288 t:393102ms avg:234.0ms
step:1700/500000 loss:3.3694 t:398433ms avg:234.4ms
step:1720/500000 loss:3.3090 t:403816ms avg:234.8ms
step:1740/500000 loss:3.1380 t:409142ms avg:235.1ms
step:1760/500000 loss:3.2840 t:414462ms avg:235.5ms
step:1780/500000 loss:3.3257 t:419793ms avg:235.8ms
step:1800/500000 loss:3.2562 t:425112ms avg:236.2ms
step:1820/500000 loss:3.2817 t:430433ms avg:236.5ms
step:1840/500000 loss:3.3156 t:435749ms avg:236.8ms
step:1860/500000 loss:3.8874 t:441073ms avg:237.1ms
step:1880/500000 loss:3.2747 t:446394ms avg:237.4ms
step:1900/500000 loss:3.0943 t:451836ms avg:237.8ms
step:1920/500000 loss:3.3085 t:457243ms avg:238.1ms
step:1940/500000 loss:3.2865 t:462563ms avg:238.4ms
step:1960/500000 loss:3.3513 t:467882ms avg:238.7ms
step:1980/500000 loss:3.1988 t:473198ms avg:239.0ms
step:2000/500000 loss:3.1914 t:478505ms avg:239.3ms
step:2000/500000 val_loss:2.9611 val_bpb:1.7826 train_time:478506ms zero_frac:0.485
step:2020/500000 loss:3.2355 t:483833ms avg:239.5ms
step:2040/500000 loss:3.1576 t:489159ms avg:239.8ms
step:2060/500000 loss:3.1807 t:494477ms avg:240.0ms
step:2080/500000 loss:3.1624 t:499808ms avg:240.3ms
step:2100/500000 loss:3.2429 t:505122ms avg:240.5ms
step:2120/500000 loss:3.2147 t:510434ms avg:240.8ms
step:2140/500000 loss:3.1307 t:515745ms avg:241.0ms
step:2160/500000 loss:3.2095 t:521053ms avg:241.2ms
step:2180/500000 loss:3.1997 t:526406ms avg:241.5ms
step:2200/500000 loss:3.1410 t:531741ms avg:241.7ms
step:2220/500000 loss:3.0338 t:537047ms avg:241.9ms
step:2240/500000 loss:3.1329 t:542407ms avg:242.1ms
step:2260/500000 loss:3.1582 t:547811ms avg:242.4ms
step:2280/500000 loss:3.0727 t:553231ms avg:242.6ms
step:2300/500000 loss:3.2172 t:558711ms avg:242.9ms
step:2320/500000 loss:3.1826 t:564061ms avg:243.1ms
step:2340/500000 loss:3.0261 t:569457ms avg:243.4ms
step:2360/500000 loss:3.0331 t:574803ms avg:243.6ms
step:2380/500000 loss:3.2404 t:580152ms avg:243.8ms
step:2400/500000 loss:3.1535 t:585506ms avg:244.0ms
step:2420/500000 loss:3.1515 t:590850ms avg:244.2ms
step:2440/500000 loss:3.1258 t:596200ms avg:244.3ms
step:2460/500000 loss:2.9805 t:601507ms avg:244.5ms
step:2460/500000 val_loss:2.8548 val_bpb:1.7185 train_time:601507ms zero_frac:0.489
stopping_early: wallclock_cap train_time:601507ms step:2460/500000
swa:applied count=5 tensors=126 include_ternary=0
hessian_ternary_gptq:using real held-out tokens (32768 tokens)
hessian_ternary_gptq:collecting Hessians...
hessian_ternary_gptq:collected 48 Hessian matrices
hessian_ternary_gptq:done in 11.1s
artifact:9.84MB ternary:29360128(6684457B) fp:2119436(4238872B) code:185878
budget:10027906/16000000 (10.03/16.00MB) FITS
eval_feedback_passes:2
final_ternary_roundtrip val_loss:4.6990 val_bpb:2.8287
temp_scaling optimal_T:1.10 eval_time:23864ms
final_sliding val_loss:4.6206 val_bpb:2.7811 (stride=64, T=1.10) eval_time:4766ms
ngram_cache val_loss:4.0525 val_bpb:2.4396 (order=5) eval_time:195867ms
