Device: cuda
Loading data/datasets/fineweb10B_sp8192/fineweb_val_000000.bin...
  40,540,803 tokens
  vocab_size: 8192
  train: 4,000,000  eval: 300,000
  model: 5,387,776 params
  step 50/4000  loss=10.4690  (3s, 15.3 steps/s)
  step 1750/4000  loss=5.5546  (107s, 16.3 steps/s)
  step 1800/4000  loss=5.5611  (110s, 16.3 steps/s)
  step 1850/4000  loss=5.5028  (113s, 16.3 steps/s)
  step 1900/4000  loss=5.3757  (117s, 16.3 steps/s)
  step 1950/4000  loss=5.4839  (120s, 16.3 steps/s)
  step 2000/4000  loss=5.4337  (123s, 16.3 steps/s)
  step 2050/4000  loss=5.3654  (126s, 16.3 steps/s)
  step 2100/4000  loss=5.4414  (129s, 16.3 steps/s)
  step 2150/4000  loss=5.3132  (132s, 16.3 steps/s)
  step 2200/4000  loss=5.2869  (135s, 16.3 steps/s)
  step 2250/4000  loss=5.3136  (138s, 16.3 steps/s)
  step 2300/4000  loss=5.2696  (141s, 16.3 steps/s)
  step 2350/4000  loss=5.2269  (144s, 16.3 steps/s)
  step 2400/4000  loss=5.2834  (147s, 16.3 steps/s)
  step 2450/4000  loss=5.1872  (150s, 16.3 steps/s)
  step 2500/4000  loss=5.1374  (153s, 16.3 steps/s)
  step 2550/4000  loss=5.2403  (157s, 16.3 steps/s)
  step 2600/4000  loss=5.1581  (160s, 16.3 steps/s)
  step 2650/4000  loss=5.1898  (163s, 16.3 steps/s)
  step 2700/4000  loss=5.0685  (166s, 16.3 steps/s)
  step 2750/4000  loss=5.0195  (169s, 16.3 steps/s)
  step 2800/4000  loss=5.2073  (172s, 16.3 steps/s)
  step 2850/4000  loss=5.1364  (175s, 16.3 steps/s)
  step 2900/4000  loss=5.1481  (178s, 16.3 steps/s)
  step 2950/4000  loss=5.0720  (181s, 16.3 steps/s)
  step 3000/4000  loss=5.0624  (184s, 16.3 steps/s)
  step 3050/4000  loss=5.0006  (187s, 16.3 steps/s)
  step 3100/4000  loss=5.0436  (190s, 16.3 steps/s)
  step 3150/4000  loss=5.0510  (194s, 16.3 steps/s)
  step 3200/4000  loss=5.0055  (197s, 16.3 steps/s)
  step 3250/4000  loss=4.8384  (200s, 16.3 steps/s)
  step 3300/4000  loss=4.9358  (203s, 16.3 steps/s)
  step 3350/4000  loss=4.8018  (206s, 16.3 steps/s)
  step 3400/4000  loss=4.8805  (209s, 16.3 steps/s)
  step 3450/4000  loss=4.9622  (212s, 16.3 steps/s)
  step 3500/4000  loss=4.9727  (215s, 16.3 steps/s)
  step 3550/4000  loss=4.8461  (218s, 16.3 steps/s)
  step 3600/4000  loss=4.9072  (221s, 16.3 steps/s)
  step 3650/4000  loss=4.7935  (224s, 16.3 steps/s)
  step 3700/4000  loss=4.8694  (227s, 16.3 steps/s)
  step 3750/4000  loss=4.8371  (231s, 16.3 steps/s)
  step 3800/4000  loss=4.6756  (234s, 16.3 steps/s)
  step 3850/4000  loss=4.7183  (237s, 16.3 steps/s)
  step 3900/4000  loss=4.8153  (240s, 16.3 steps/s)
  step 3950/4000  loss=4.7919  (243s, 16.3 steps/s)
  step 4000/4000  loss=4.7227  (246s, 16.3 steps/s)
Training done: 246s, final loss 4.7227

--- EVAL SWEEP ---
  BASELINE (no ngram): bpt=7.38585 (4s)
  order=3 alpha=0.00  bpt=7.38585  delta=+0.00000  (9s)
  order=3 alpha=0.05  bpt=7.38519  delta=-0.00066  (47s)
  order=3 alpha=0.10  bpt=7.38779  delta=+0.00194  (48s)
