commit	metric	status	description
baseline_leaky_qat090_uc120	1.87537201	ok	9L leaky baseline plus late QAT from 90% wallclock; step:146/999999 val_loss:3.1665 val_bpb:1.8754 train_time:120220ms step_avg:823.42ms
baseline_leaky_fakeqat090_uc120	1.85239373	ok	9L leaky baseline plus proper forward-only fake QAT from 90% wallclock; step:146/999999 val_loss:3.1277 val_bpb:1.8524 train_time:120635ms step_avg:826.26ms
baseline_leaky_ema099_fakeqat090_uc120	2.22178699	ok	9L leaky baseline plus EMA 0.99 from step 50 and proper fake QAT from 90% wallclock; step:146/999999 val_loss:3.1267 val_bpb:1.8518 train_time:120506ms step_avg:825.38ms
baseline_leaky_ema099_exportqat_uc120	2.21828397	ok	9L leaky baseline plus EMA 0.99 from step 50 and export-time EMA quant-dequant; step:147/999999 val_loss:3.1205 val_bpb:1.8481 train_time:120713ms step_avg:821.18ms
baseline_leaky_tokembfp16_uc120	1.85120500	ok	9L leaky baseline plus tok_emb kept fp16 in export; step:147/20000 val_loss:3.1234 val_bpb:1.8499 train_time:120728ms step_avg:821.28ms
baseline_leaky_tokembfp32_uc120	1.84736881	ok	9L leaky baseline plus tok_emb kept fp32 in export; step:147/20000 val_loss:3.1169 val_bpb:1.8460 train_time:120193ms step_avg:817.64ms
baseline_leaky_fakeqat090_tokembfp16_uc120	1.85131099	ok	9L leaky baseline plus proper fake QAT from 90% wallclock and tok_emb kept fp16 in export; step:146/20000 val_loss:3.1259 val_bpb:1.8513 train_time:120267ms step_avg:823.75ms
baseline_leaky_compiled_tb131072_uc120	1.68955985	ok	9L leaky baseline, compiled, half batch; step:267/999999 val_loss:2.8512 val_bpb:1.6886 train_time:120093ms step_avg:449.79ms
stack11_leaky_compiled_tb131072_uc120	2.13508659	ok	11L leaky stack, compiled, half batch; step:166/999999 val_loss:3.5984 val_bpb:2.1312 train_time:120074ms step_avg:723.33ms
baseline_leaky_compiled_tb131072_uc300	1.46329953	ok	9L leaky baseline, compiled, half batch, 300s; step:1188/999999 val_loss:2.4689 val_bpb:1.4622 train_time:300188ms step_avg:252.68ms
stack11_leaky_compiled_tb131072_uc300	1.49906250	ok	11L leaky stack, compiled, half batch, 300s; step:858/999999 val_loss:2.5300 val_bpb:1.4984 train_time:300172ms step_avg:349.85ms
baseline_leaky_wd80_compiled_tb131072_uc300	1.43852172	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 80; step:1212/999999 val_loss:2.4270 val_bpb:1.4374 train_time:300128ms step_avg:247.63ms
baseline_leaky_wd150_compiled_tb131072_uc300	1.43197024	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 150; step:1193/999999 val_loss:2.4163 val_bpb:1.4310 train_time:300019ms step_avg:251.48ms
baseline_leaky_wd200_compiled_tb131072_uc300	1.42924227	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 200; step:1191/999999 val_loss:2.4118 val_bpb:1.4284 train_time:300075ms step_avg:251.95ms
baseline_leaky_wd250_compiled_tb131072_uc300	1.42569532	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 250; step:1212/999999 val_loss:2.4055 val_bpb:1.4247 train_time:300230ms step_avg:247.71ms
baseline_leaky_wd300_compiled_tb131072_uc300	1.42394278	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 300; step:1206/999999 val_loss:2.4025 val_bpb:1.4229 train_time:300024ms step_avg:248.78ms
baseline_leaky_wd300_seq2048_compiled_tb131072_uc300	1.42614308	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 300, seq2048; step:891/999999 val_loss:2.4068 val_bpb:1.4254 train_time:300048ms step_avg:336.75ms
baseline_leaky_wd350_compiled_tb131072_uc300	1.43686431	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 350; step:976/999999 val_loss:2.4250 val_bpb:1.4362 train_time:300077ms step_avg:307.46ms
baseline_leaky_wd400_compiled_tb131072_uc300	1.42389889	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 400; step:1178/999999 val_loss:2.4025 val_bpb:1.4229 train_time:300153ms step_avg:254.80ms
baseline_leaky_wd450_compiled_tb131072_uc300	1.42127986	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450; step:1194/999999 val_loss:2.3983 val_bpb:1.4204 train_time:300038ms step_avg:251.29ms
baseline_leaky_wd450_lr022_compiled_tb131072_uc300	1.41830550	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.022; step:1168/999999 val_loss:2.3925 val_bpb:1.4170 train_time:300117ms step_avg:256.95ms
baseline_leaky_wd450_lr024_compiled_tb131072_uc300	1.41697000	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.024; step:1187/999999 val_loss:2.3904 val_bpb:1.4157 train_time:300032ms step_avg:252.77ms
baseline_leaky_wd450_lr026_compiled_tb131072_uc300	1.41720638	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.026; step:1172/999999 val_loss:2.3910 val_bpb:1.4161 train_time:300116ms step_avg:256.07ms
baseline_leaky_wd450_lr028_compiled_tb131072_uc300	1.41413148	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1216/999999 val_loss:2.3859 val_bpb:1.4131 train_time:300093ms step_avg:246.79ms
baseline_leaky_wd450_lr028_clip99995_compiled_tb131072_uc300	NA	failed	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, clip 99.995
baseline_leaky_wd450_lr028_clip99997_compiled_tb131072_uc300	NA	failed	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, clip 99.997
baseline_leaky_wd450_lr028_clip9999984_compiled_tb131072_uc300	NA	failed	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, clip 99.99984
baseline_leaky_wd450_lr028_clip9999995_compiled_tb131072_uc300	NA	failed	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, clip 99.99995
baseline_leaky_wd450_lr028_clip99995_r2_compiled_tb131072_uc300	1.44436489	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, clip 99.995; step:938/999999 val_loss:2.4366 val_bpb:1.4431 train_time:300231ms step_avg:320.08ms
baseline_leaky_wd450_lr028_clip99997_r2_compiled_tb131072_uc300	1.42137983	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, clip 99.997; step:1172/999999 val_loss:2.3982 val_bpb:1.4203 train_time:300032ms step_avg:256.00ms
baseline_leaky_wd450_lr028_clip9999984_r2_compiled_tb131072_uc300	1.42134683	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, clip 99.99984; step:1169/999999 val_loss:2.3981 val_bpb:1.4203 train_time:300012ms step_avg:256.64ms
baseline_leaky_wd450_lr028_clip9999995_r2_compiled_tb131072_uc300	1.42525162	ok	9L leaky baseline, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, clip 99.99995; step:1135/999999 val_loss:2.4045 val_bpb:1.4241 train_time:300038ms step_avg:264.35ms
baseline_leaky_wd450_lr028_rowclipctl_compiled_tb131072_uc300	1.42499368	ok	9L leaky baseline control, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, row clip search off; step:1136/999999 val_loss:2.4042 val_bpb:1.4239 train_time:300093ms step_avg:264.17ms
baseline_leaky_wd450_lr028_rowclipsearch_compiled_tb131072_uc300	1.42366588	ok	9L leaky baseline plus per-row MSE clip search, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1149/999999 val_loss:2.4020 val_bpb:1.4226 train_time:300219ms step_avg:261.29ms
baseline_leaky_wd450_lr028_rowclipctl_compiled_tb131072_uc600	1.36322331	ok	9L leaky baseline control, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028, row clip search off; step:2373/999999 val_loss:2.2986 val_bpb:1.3613 train_time:600103ms step_avg:252.89ms
baseline_leaky_wd450_lr028_rowclipsearch_compiled_tb131072_uc600	1.36324674	ok	9L leaky baseline plus per-row MSE clip search, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2380/999999 val_loss:2.2987 val_bpb:1.3614 train_time:600022ms step_avg:252.11ms
baseline_leaky_wd450_lr028_gptqlitectl_compiled_tb131072_uc300	1.42532016	ok	9L leaky baseline control, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, GPTQ-lite off; step:1130/999999 val_loss:2.4047 val_bpb:1.4242 train_time:300168ms step_avg:265.64ms
baseline_leaky_wd450_lr028_gptqlite_compiled_tb131072_uc300	1.42027177	ok	9L leaky baseline plus GPTQ-lite style per-row clip search on non-embedding 2D weights, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1174/999999 val_loss:2.3963 val_bpb:1.4192 train_time:300175ms step_avg:255.69ms
baseline_leaky_wd450_lr028_gptqlitectl_compiled_tb131072_uc600	1.36564404	ok	9L leaky baseline control, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028, GPTQ-lite off; step:2289/999999 val_loss:2.3026 val_bpb:1.3637 train_time:600170ms step_avg:262.20ms
baseline_leaky_wd450_lr028_gptqlite_compiled_tb131072_uc600	1.36685417	ok	9L leaky baseline plus GPTQ-lite style per-row clip search on non-embedding 2D weights, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2321/999999 val_loss:2.3049 val_bpb:1.3651 train_time:600230ms step_avg:258.61ms
baseline_leaky_wd450_lr028_tier1ctl_compiled_tb131072_uc300	1.42237943	ok	9L leaky baseline control, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, default rope and ln scale off; step:1145/999999 val_loss:2.3997 val_bpb:1.4213 train_time:300131ms step_avg:262.12ms
baseline_leaky_wd450_lr028_rope16_compiled_tb131072_uc300	1.43325936	ok	9L leaky baseline plus partial RoPE 16, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1002/999999 val_loss:2.4181 val_bpb:1.4321 train_time:300146ms step_avg:299.55ms
baseline_leaky_wd450_lr028_lnscale_compiled_tb131072_uc300	1.43818644	ok	9L leaky baseline plus LN scale, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1031/999999 val_loss:2.4265 val_bpb:1.4371 train_time:300110ms step_avg:291.09ms
baseline_leaky_wd450_lr028_rope16_lnscale_compiled_tb131072_uc300	1.44241602	ok	9L leaky baseline plus partial RoPE 16 and LN scale, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1012/999999 val_loss:2.4338 val_bpb:1.4414 train_time:300145ms step_avg:296.59ms
baseline_leaky_wdctl_compiled_tb131072_uc300	1.42290980	ok	9L leaky baseline control, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028, zero optimizer weight decay; step:1161/999999 val_loss:2.4007 val_bpb:1.4218 train_time:300148ms step_avg:258.53ms
baseline_leaky_muonwd02_adamwd02_compiled_tb131072_uc300	1.41729156	ok	9L leaky baseline plus optimizer weight decay 0.02, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1150/999999 val_loss:2.3915 val_bpb:1.4164 train_time:300107ms step_avg:260.96ms
baseline_leaky_muonwd04_adamwd04_compiled_tb131072_uc300	1.41637422	ok	9L leaky baseline plus optimizer weight decay 0.04, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1146/999999 val_loss:2.3901 val_bpb:1.4155 train_time:300150ms step_avg:261.91ms
baseline_leaky_muonwd05_adamwd05_compiled_tb131072_uc300	1.41755898	ok	9L leaky baseline plus optimizer weight decay 0.05, compiled, half batch, 300s, warmdown 450, matrix/scalar lr 0.028; step:1136/999999 val_loss:2.3919 val_bpb:1.4166 train_time:300008ms step_avg:264.09ms
baseline_leaky_muonwd04_adamwd04_compiled_tb131072_uc600	1.37128312	ok	9L leaky baseline plus optimizer weight decay 0.04, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; did not hold vs prior no-WD 600s best 1.36146680; step:2306/999999 val_loss:2.3142 val_bpb:1.3706 train_time:600062ms step_avg:260.22ms
baseline_leaky_wd450_lr028_rope16_lnscale_compiled_tb131072_uc600	1.37740524	ok	9L leaky baseline plus Partial RoPE 16 and LN scale, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028, zero optimizer weight decay; regressed vs prior no-WD 600s best 1.36146680; step:2300/999999 val_loss:2.3224 val_bpb:1.3755 train_time:600163ms step_avg:260.94ms
baseline_leaky_wd450_lr028_rope16_compiled_tb131072_uc600	1.36593794	ok	9L leaky baseline plus Partial RoPE 16 only, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028, zero optimizer weight decay; regressed vs prior no-WD 600s best 1.36146680; step:2331/999999 val_loss:2.3033 val_bpb:1.3641 train_time:600214ms step_avg:257.49ms
baseline_leaky_wd450_lr028_evalctl_compiled_tb131072_uc600	1.36461125	ok	9L leaky baseline control, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028, flat eval; step:2305/999999 val_loss:2.3011 val_bpb:1.3628 train_time:600120ms step_avg:260.36ms
baseline_leaky_wd450_lr028_slide64_compiled_tb131072_uc600	1.33207082	ok	9L leaky baseline plus sliding eval stride 64, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2301/999999 val_loss:2.2462 val_bpb:1.3303 train_time:600007ms step_avg:260.76ms
baseline_leaky_wd450_lr028_slide64_dociso_compiled_tb131072_uc600	1.34040978	ok	9L leaky baseline plus sliding eval stride 64 with doc-isolated evaluation, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2304/999999 val_loss:2.2469 val_bpb:1.3390 train_time:600257ms step_avg:260.53ms
baseline_leaky_wd450_lr028_swa2100e50_compiled_tb131072_uc600	1.36563609	ok	9L leaky baseline plus late SWA, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028, SWA start 2100, every 50; step:2322/999999 val_loss:2.3006 val_bpb:1.3626 train_time:600177ms step_avg:258.47ms
baseline_leaky_wd450_lr028_tokembfp32_compiled_tb131072_uc600	1.36355485	ok	9L leaky baseline plus selective keep-float export (tokembfp32), compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2315/999999 val_loss:2.3020 val_bpb:1.3634 train_time:600123ms step_avg:259.23ms
baseline_leaky_wd450_lr028_tokembfp16_compiled_tb131072_uc600	1.36322585	ok	9L leaky baseline plus selective keep-float export (tokembfp16), compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2310/999999 val_loss:2.3014 val_bpb:1.3630 train_time:600046ms step_avg:259.76ms
baseline_leaky_wd450_lr028_smeargate_compiled_tb131072_uc600	1.36391821	ok	9L leaky baseline plus SmearGate, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2083/999999 val_loss:2.3000 val_bpb:1.3622 train_time:600226ms step_avg:288.15ms
baseline_leaky_wd450_lr028_xsa4_compiled_tb131072_uc600	1.36653440	ok	9L leaky baseline plus XSA on last 4 layers, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:1976/999999 val_loss:2.3049 val_bpb:1.3651 train_time:600132ms step_avg:303.71ms
baseline_leaky_wd450_lr028_bigram2048d128_compiled_tb131072_uc600	1.36668028	ok	9L leaky baseline plus BigramHash(2048, dim=128), compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2131/999999 val_loss:2.3048 val_bpb:1.3650 train_time:600060ms step_avg:281.59ms
baseline_leaky_muonwd01_adamwd01_compiled_tb131072_uc600	1.36422394	ok	9L leaky baseline plus optimizer weight decay 0.01, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; regressed vs canonical no-WD 600s baseline 1.36146680
baseline_leaky_wd450_lr028_smeargate_bigram2048d128_compiled_tb131072_uc600	1.36227977	ok	9L leaky baseline plus SmearGate and BigramHash(2048, dim=128), compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; step:2131/999999 val_loss:2.2969 val_bpb:1.3604 train_time:600060ms step_avg:281.59ms
baseline_leaky_wd450_lr028_ortho_mup_compiled_tb131072_uc600	1.36814637	ok	9L leaky baseline plus orthogonal init and muP-style projection scaling, compiled, half batch, 600s, warmdown 450, matrix/scalar lr 0.028; regressed vs canonical flat baseline 1.36146680
