step,train_loss,train_time_min,tok_per_s
820,3.2477,2.3,4659460
825,3.2449,2.3,4665506
830,3.2413,2.3,4672375
835,3.2611,2.3,4678371
840,3.2295,2.4,4684130
845,3.2522,2.4,4690411
850,3.2159,2.4,4696106
855,3.1944,2.4,4702425
860,3.2694,2.4,4708576
865,3.1889,2.4,4714869
870,3.2718,2.4,4720811
875,3.2734,2.4,4726865
880,3.3153,2.4,4732477
885,3.1612,2.4,4738424
890,3.198,2.5,4743911
895,3.1916,2.5,4749398
900,3.2656,2.5,4714769
905,3.2146,2.5,4720560
910,3.245,2.5,4726386
915,3.2101,2.5,4732342
920,3.2565,2.5,4737989
925,3.3085,2.6,4743572
930,3.22,2.6,4749112
935,3.2488,2.6,4754794
940,3.2534,2.6,4760166
945,3.2511,2.6,4765569
950,3.324,2.6,4770613
955,3.3113,2.6,4776732
960,3.2784,2.6,4781711
965,3.2233,2.6,4787664
970,3.307,2.7,4793600
975,3.2159,2.7,4799012
980,3.3073,2.7,4805124
985,3.2356,2.7,4810634
990,3.2873,2.7,4816322
995,3.2091,2.7,4822091
1000,3.2473,2.7,4787358
1005,3.2042,2.7,4792441
1010,3.2793,2.8,4797749
1015,3.2659,2.8,4803198
1020,3.3008,2.8,4808715
1025,3.2207,2.8,4814164
1030,3.2343,2.8,4819580
1035,3.2459,2.8,4825282
1040,3.2473,2.8,4830696
1045,3.1798,2.8,4835995
1050,3.2286,2.8,4840978
1055,3.2612,2.9,4846205
1060,3.2043,2.9,4851605
1065,3.2931,2.9,4857237
1070,3.2349,2.9,4862429
1075,3.2905,2.9,4867685
1080,3.224,2.9,4872774
1085,3.2421,2.9,4877235
1090,3.2154,2.9,4882607
1095,3.2143,2.9,4887735
1100,3.2081,3.0,4857455
1105,3.2759,3.0,4862723
1110,3.2258,3.0,4868303
1115,3.1867,3.0,4873644
1120,3.2804,3.0,4878520
1125,3.3091,3.0,4883501
1130,3.2615,3.0,4888711
1135,3.1848,3.0,4894056
1140,3.2211,3.1,4898903
1145,3.2165,3.1,4903899
1150,3.1916,3.1,4908897
1155,3.2605,3.1,4913834
1160,3.2242,3.1,4918750
1165,3.2614,3.1,4924044
1170,3.1975,3.1,4928998
1175,3.2655,3.1,4933871
1180,3.1511,3.1,4938989
1185,3.2326,3.1,4944104
1190,3.2034,3.2,4948995
1195,3.2692,3.2,4953884
1200,3.2613,3.2,4924494
1205,3.2336,3.2,4929474
1210,3.1676,3.2,4934382
1215,3.1824,3.2,4939584
1220,3.252,3.2,4944428
1225,3.2316,3.2,4949327
1230,3.1246,3.3,4954277
1235,3.1996,3.3,4959302
1240,3.1962,3.3,4964157
1245,3.1741,3.3,4969270
1250,3.1981,3.3,4973976
1255,3.2246,3.3,4978682
1260,3.1183,3.3,4983981
1265,3.176,3.3,4988485
1270,3.1041,3.3,4993272
1275,3.22,3.3,4997950
1280,3.184,3.4,4970685
1285,3.2935,3.4,4974987
1290,3.1393,3.4,4979662
1295,3.1652,3.4,4984412
1300,3.1944,3.4,4958545
1305,3.1798,3.4,4963647
1310,3.3237,3.5,4968993
1315,3.1714,3.5,4974590
1320,3.1388,3.5,4980049
1325,3.1626,3.5,4985392
1330,3.1582,3.5,4990620
1335,3.1626,3.5,4996064
1340,3.1337,3.5,5001386
1345,3.2455,3.5,5006662
1350,3.1411,3.5,5011906
1355,3.122,3.5,5016983
1360,3.2353,3.5,5022456
1365,3.1294,3.6,5027534
1370,3.0694,3.6,5032658
1375,3.1888,3.6,5038105
1380,3.1756,3.6,5043371
1385,3.1802,3.6,5048743
1390,3.1844,3.6,5054000
1395,3.088,3.6,5059294
1400,3.2456,3.6,5044911
1405,3.1593,3.6,5050315
1410,3.1759,3.7,5055673
1415,3.1842,3.7,5061015
1420,3.1796,3.7,5066390
1425,3.1246,3.7,5071691
1430,3.0617,3.7,5076910
1435,3.2443,3.7,5082127
1440,3.0758,3.7,5087400
1445,3.1591,3.7,5092519
1450,3.2149,3.7,5097716
1455,3.1401,3.7,5102804
1460,3.2079,3.7,5107897
1465,3.1892,3.8,5113030
1470,3.0894,3.8,5118136
1475,3.2133,3.8,5123196
1480,3.115,3.8,5128193
1485,3.1692,3.8,5133194
1490,3.1368,3.8,5138087
1495,3.127,3.8,5143116
1500,3.1081,3.8,5129981
1505,3.2417,3.8,5135024
1510,3.1671,3.9,5139841
1515,3.2172,3.9,5144733
1520,3.1978,3.9,5149629
1525,3.1047,3.9,5154669
1530,3.1866,3.9,5159527
1535,3.0703,3.9,5164357
1540,3.1246,3.9,5169190
1545,3.1975,3.9,5174115
1550,3.1127,3.9,5178880
1555,3.119,3.9,5183675
1560,3.1361,3.9,5188310
1565,3.177,3.9,5193176
1570,3.1795,4.0,5197943
1575,3.1554,4.0,5202635
1580,3.1687,4.0,5207265
1585,3.0745,4.0,5211844
1590,3.1454,4.0,5216464
1595,3.6421,4.0,5201328
1600,3.3039,4.0,5186040
1605,3.3162,4.1,5185886
1610,3.2125,4.1,5185338
1615,3.186,4.1,5185010
1620,3.174,4.1,5184565
1625,3.1526,4.1,5184324
1630,3.2242,4.1,5183891
1635,3.1602,4.1,5183616
1640,3.1125,4.1,5183369
1645,3.1772,4.2,5182960
1650,3.2117,4.2,5182614
1655,3.1237,4.2,5182316
1660,3.1251,4.2,5182078
1665,3.1138,4.2,5181777
1670,3.1458,4.2,5181468
1675,3.1603,4.2,5181327
1680,3.1698,4.3,5181050
1685,3.1742,4.3,5180941
1690,3.093,4.3,5180698
1695,3.1509,4.3,5180448
1700,3.1486,4.3,5164215
1705,3.1827,4.3,5163814
1710,3.1677,4.3,5163535
1715,3.136,4.4,5163382
1720,3.2124,4.4,5163305
1725,3.0785,4.4,5163230
1730,3.1054,4.4,5163055
1735,3.0968,4.4,5162921
1740,3.0506,4.4,5162764
1745,3.0525,4.4,5162623
1750,3.0337,4.4,5162516
1755,3.1226,4.5,5162196
1760,3.0235,4.5,5161964
1765,3.1328,4.5,5161846
1770,3.119,4.5,5161717
1775,3.0396,4.5,5161518
1780,3.0981,4.5,5161413
1785,3.0704,4.5,5161245
1790,3.0433,4.5,5160965
1795,3.1167,4.6,5160694
1800,3.0761,4.6,5146528
1805,3.0663,4.6,5146329
1810,3.0952,4.6,5146193
1815,3.1146,4.6,5146087
1820,3.1201,4.6,5145941
1825,3.1147,4.6,5145803
1830,3.1129,4.7,5145734
1835,3.1231,4.7,5145649
1840,3.0631,4.7,5145592
1845,3.0785,4.7,5145553
1850,3.1122,4.7,5145606
1855,3.1912,4.7,5145504
1860,3.068,4.7,5145388
1865,3.0426,4.8,5145345
1870,3.1074,4.8,5145241
1875,3.0292,4.8,5145224
1880,3.0913,4.8,5145217
1885,3.0264,4.8,5145121
1890,3.1147,4.8,5145242
1895,3.0074,4.8,5145271
1900,3.0882,4.9,5120568
1905,3.0501,4.9,5120680
1910,3.082,4.9,5120871
1915,3.0549,4.9,5120893
1920,3.0481,4.9,5120969
1925,3.1122,4.9,5121013
1930,3.1199,4.9,5121077
1935,3.1616,5.0,5121157
1940,3.1283,5.0,5121305
1945,3.1644,5.0,5121413
1950,3.0241,5.0,5121582
1955,3.1048,5.0,5121717
1960,3.0349,5.0,5121804
1965,3.0268,5.0,5121914
1970,3.0176,5.0,5122038
1975,3.0309,5.1,5122037
1980,3.057,5.1,5122166
1985,2.9987,5.1,5122310
1990,3.0479,5.1,5122427
1995,3.0675,5.1,5122547
2000,2.9618,5.1,5111541
2005,3.0378,5.1,5111818
2010,3.0548,5.2,5111928
2015,3.0822,5.2,5112063
2020,3.0947,5.2,5112309
2025,2.9659,5.2,5112391
2030,3.0606,5.2,5112543
2035,3.1503,5.2,5112695
2040,3.0682,5.2,5112911
2045,3.0455,5.2,5113033
2050,3.0984,5.3,5113162
2055,2.9873,5.3,5113318
2060,3.0678,5.3,5113528
2065,3.0353,5.3,5113669
2070,3.1172,5.3,5113829
2075,2.9393,5.3,5113954
2080,3.1392,5.3,5114044
2085,3.0302,5.3,5114295
2090,3.0766,5.4,5114448
2095,3.1053,5.4,5114628
2100,3.0657,5.4,5101608
2105,3.0063,5.4,5101886
2110,3.0818,5.4,5102127
2115,3.1071,5.4,5102352
2120,3.0777,5.4,5102481
2125,2.9975,5.5,5102756
2130,3.0567,5.5,5103030
2135,2.9967,5.5,5103132
2140,3.0989,5.5,5103369
2145,3.0497,5.5,5103556
2150,2.9883,5.5,5103808
2155,2.9681,5.5,5104058
2160,3.0646,5.5,5104246
2165,3.0062,5.6,5104322
2170,3.0672,5.6,5104523
2175,2.9905,5.6,5104726
2180,3.0785,5.6,5104947
2185,2.9698,5.6,5105158
2190,3.0119,5.6,5105402
2195,3.0029,5.6,5105595
2200,3.0782,5.7,5095567
2205,3.0687,5.7,5095703
2210,3.0041,5.7,5095959
2215,3.017,5.7,5096149
2220,3.0609,5.7,5096376
2225,3.0894,5.7,5096624
2230,2.8564,5.7,5096918
2235,3.0493,5.7,5097191
2240,2.9972,5.8,5097315
2245,3.0625,5.8,5097560
2250,3.0004,5.8,5097792
2255,3.0161,5.8,5097943
2260,3.0123,5.8,5098160
2265,3.0075,5.8,5098401
2270,3.0925,5.8,5098547
2275,3.1499,5.8,5098780
2280,2.9268,5.9,5099015
2285,3.0778,5.9,5099214
2290,3.0078,5.9,5099445
2295,3.0308,5.9,5099655
2300,3.038,5.9,5090028
2305,3.0634,5.9,5090316
2310,2.9586,5.9,5090603
2315,3.0863,6.0,5090883
2320,3.0747,6.0,5091199
2325,3.1312,6.0,5091409
2330,3.0505,6.0,5091610
2335,3.0316,6.0,5091798
2340,3.0095,6.0,5092094
2345,3.0117,6.0,5092305
2350,3.028,6.0,5092523
2355,3.0145,6.1,5092738
2360,3.0232,6.1,5092978
2365,2.9594,6.1,5093213
2370,2.9474,6.1,5093526
2375,2.9956,6.1,5093830
2380,3.0108,6.1,5094001
2385,2.9652,6.1,5094252
2390,3.0333,6.1,5094492
2395,3.0425,6.2,5094780
2400,3.0243,6.2,5085216
2405,3.0647,6.2,5085535
2410,2.9646,6.2,5085858
2415,2.9555,6.2,5086122
2420,2.9705,6.2,5086394
2425,3.0318,6.2,5086683
2430,2.9472,6.3,5086958
2435,3.0074,6.3,5087180
2440,3.0608,6.3,5087439
2445,3.0269,6.3,5087633
2450,3.0876,6.3,5087921
2455,2.9385,6.3,5088081
2460,3.0408,6.3,5088386
2465,3.0939,6.3,5088716
2470,2.974,6.4,5088984
2475,3.0008,6.4,5089226
2480,3.0519,6.4,5089520
2485,3.0052,6.4,5089742
2490,3.1346,6.4,5089938
2495,3.0116,6.4,5090213
2500,2.9673,6.4,5080816
2505,3.0618,6.5,5081152
2510,3.0225,6.5,5081409
2515,3.0113,6.5,5081697
2520,3.0471,6.5,5081968
2525,2.9927,6.5,5082257
2530,3.0627,6.5,5082511
2535,3.0927,6.5,5082780
2540,2.9685,6.5,5083105
2545,2.9794,6.6,5083396
2550,3.0523,6.6,5083624
2555,2.9674,6.6,5083920
2560,3.0409,6.6,5084152
2565,3.0342,6.6,5084433
2570,2.9315,6.6,5084694
2575,2.9651,6.6,5084967
2580,2.9937,6.6,5085263
2585,3.0686,6.7,5085532
2590,2.9401,6.7,5085791
2595,3.0332,6.7,5086028
2600,2.9514,6.7,5077170
2605,2.9447,6.7,5077452
2610,2.9483,6.7,5077606
2615,3.06,6.8,5077787
2620,2.9489,6.8,5078127
2625,2.9804,6.8,5078366
2630,2.9656,6.8,5078643
2635,2.9965,6.8,5078903
2640,2.9778,6.8,5079172
2645,2.9704,6.8,5079384
2650,2.933,6.8,5079653
2655,2.9869,6.9,5079858
2660,2.9515,6.9,5080079
2665,3.0153,6.9,5080304
2670,2.929,6.9,5080552
2675,2.9145,6.9,5080817
2680,2.9673,6.9,5081095
2685,2.9638,6.9,5081381
2690,2.9273,6.9,5081678
2695,3.0362,7.0,5081929
2700,2.9783,7.0,5073668
2705,2.9357,7.0,5073978
2710,2.834,7.0,5074248
2715,3.1225,7.0,5074493
2720,2.9651,7.0,5074804
2725,3.0275,7.0,5075067
2730,2.9935,7.1,5075359
2735,3.0028,7.1,5075632
2740,2.9968,7.1,5075936
2745,2.9957,7.1,5076202
2750,2.9345,7.1,5076498
2755,3.0074,7.1,5076738
2760,3.0134,7.1,5076944
2765,3.0284,7.1,5077233
2770,2.9572,7.2,5077540
2775,2.9338,7.2,5077756
2780,2.989,7.2,5078052
2785,2.9611,7.2,5078286
2790,2.9866,7.2,5078610
2795,2.9685,7.2,5078903
2800,2.9893,7.2,5070896
2805,3.009,7.2,5071230
2810,2.9796,7.3,5071545
2815,3.008,7.3,5071857
2820,2.937,7.3,5072140
2825,2.9928,7.3,5072426
2830,2.991,7.3,5072736
2835,2.9507,7.3,5073082
2840,2.9458,7.3,5073403
2845,2.9316,7.3,5073682
2850,2.948,7.4,5073937
2855,2.967,7.4,5074191
2860,2.9424,7.4,5074487
2865,2.9592,7.4,5074736
2870,3.0251,7.4,5075039
2875,2.951,7.4,5075343
2880,3.0139,7.4,5075589
2885,3.0087,7.4,5075949
2890,2.9524,7.5,5076263
2895,2.9715,7.5,5076546
2900,2.9361,7.5,5068577
2905,3.018,7.5,5068912
2910,2.9657,7.5,5069157
2915,2.9367,7.5,5069459
2920,2.8776,7.5,5069783
2925,3.0455,7.6,5070039
2930,2.9926,7.6,5070234
2935,2.9874,7.6,5070470
2940,2.9584,7.6,5070799
2945,2.9563,7.6,5071120
2950,2.9105,7.6,5071370
2955,3.0036,7.6,5071665
2960,2.9658,7.6,5071882
2965,2.9555,7.7,5072163
2970,2.9174,7.7,5072429
2975,2.9254,7.7,5072683
2980,3.0006,7.7,5072983
2985,2.8983,7.7,5073270
2990,2.9971,7.7,5073509
2995,2.9621,7.7,5073836
3000,2.9591,7.8,5066335
3005,3.0044,7.8,5066738
3010,2.9477,7.8,5067024
3015,2.9386,7.8,5067343
3020,2.9941,7.8,5067668
3025,2.9408,7.8,5067934
3030,2.8755,7.8,5068154
3035,3.0059,7.8,5068491
3040,3.0171,7.9,5068822
3045,2.9764,7.9,5069098
3050,3.0726,7.9,5069356
3055,3.0914,7.9,5069677
3060,2.934,7.9,5069967
3065,2.9451,7.9,5070262
3070,3.041,7.9,5070550
3075,3.0459,7.9,5070845
3080,2.9668,8.0,5071147
3085,2.9474,8.0,5071448
3090,2.907,8.0,5071784
3095,2.9511,8.0,5072092
3100,2.9777,8.0,5064178
3105,2.8845,8.0,5064457
3110,2.9678,8.0,5064759
3115,2.9208,8.1,5064970
3120,2.9676,8.1,5065265
3125,2.9999,8.1,5065602
3130,2.9618,8.1,5065881
3135,3.0166,8.1,5066171
3140,2.9869,8.1,5066483
3145,3.1121,8.1,5066775
3150,2.9469,8.1,5067036
3155,2.9349,8.2,5067258
3160,2.961,8.2,5067554
3165,2.8659,8.2,5067813
3170,2.9339,8.2,5068096
3175,2.9203,8.2,5068375
3180,2.9406,8.2,5068694
3185,2.9312,8.2,5068988
3190,3.0156,8.2,5069261
3195,2.9152,8.3,5069553
3200,2.9052,8.3,5062607
3205,2.8455,8.3,5062948
3210,2.9309,8.3,5063221
3215,2.9181,8.3,5063537
3220,3.006,8.3,5063843
3225,2.9511,8.3,5064168
3230,2.9075,8.4,5064487
3235,2.9273,8.4,5064772
3240,3.0367,8.4,5065038
3245,2.9273,8.4,5065326
3250,2.9099,8.4,5065587
3255,2.9458,8.4,5065893
3260,3.0081,8.4,5066184
3265,2.9269,8.4,5066479
3270,2.9535,8.5,5066762
3275,2.9321,8.5,5067027
3280,2.9544,8.5,5067240
3285,2.8887,8.5,5067505
3290,2.9448,8.5,5067738
3295,2.9512,8.5,5068001
3300,2.9311,8.5,5061304
3305,3.0352,8.6,5061673
3310,2.9061,8.6,5061917
3315,3.0198,8.6,5062213
3320,2.972,8.6,5062512
3325,2.9531,8.6,5062786
3330,2.9665,8.6,5063097
3335,2.9476,8.6,5063402
3340,2.9655,8.6,5063681
3345,2.9572,8.7,5063964
3350,2.9902,8.7,5064280
3355,2.9121,8.7,5064587
3360,2.8446,8.7,5064866
3365,2.8683,8.7,5065131
3370,2.9634,8.7,5065444
3375,3.0289,8.7,5065768
3380,2.8827,8.7,5066043
3385,2.9487,8.8,5066332
3390,2.896,8.8,5066629
3395,2.9604,8.8,5066868
3400,2.9672,8.8,5060204
3405,2.8226,8.8,5060546
3410,3.0154,8.8,5060829
3415,2.993,8.8,5061074
3420,3.0405,8.9,5061367
3425,2.8471,8.9,5061639
3430,2.9888,8.9,5061938
3435,2.8799,8.9,5062227
3440,2.9267,8.9,5062525
3445,2.9115,8.9,5062785
3450,2.9303,8.9,5063092
3455,2.8934,8.9,5063407
3460,2.9462,9.0,5063674
3465,2.88,9.0,5063948
3470,2.9575,9.0,5064260
3475,2.9114,9.0,5064502
3480,2.9518,9.0,5064795
3485,2.9012,9.0,5065074
3490,2.9456,9.0,5065343
3495,2.8728,9.0,5065616
3500,2.8477,9.1,5059496
3505,2.905,9.1,5059833
3510,2.9737,9.1,5060093
3515,2.8586,9.1,5060345
3520,2.8398,9.1,5060641
3525,2.8581,9.1,5060913
3530,2.9777,9.1,5061214
3535,3.0011,9.2,5061497
3540,2.9739,9.2,5061744
3545,2.9087,9.2,5062056
3550,2.8817,9.2,5062377
3555,3.0305,9.2,5062637
3560,2.9565,9.2,5062903
3565,2.8998,9.2,5063180
3570,2.8238,9.2,5063487
3575,2.954,9.3,5063774
3580,2.8919,9.3,5064048
3585,2.8957,9.3,5064350
3590,2.9285,9.3,5064626
3595,2.9215,9.3,5064861
3600,3.0076,9.3,5058293
3605,2.8927,9.3,5058618
3610,2.8742,9.4,5058890
3615,2.9318,9.4,5059153
3620,2.9383,9.4,5052515
3625,2.9339,9.4,5052821
3630,2.858,9.4,5053099
3635,3.011,9.4,5053384
3640,2.912,9.4,5053672
3645,2.9908,9.5,5053962
3650,2.8523,9.5,5054236
3655,2.9889,9.5,5054523
3660,2.8698,9.5,5054814
3665,2.9741,9.5,5055111
3670,2.9123,9.5,5055382
3675,3.0552,9.5,5055638
3680,2.9069,9.5,5055941
3685,2.8998,9.6,5056224
3690,2.8829,9.6,5056513
3695,2.9125,9.6,5056825
3700,2.8671,9.6,5050808
3705,2.8822,9.6,5051034
3710,2.9378,9.6,5051329
3715,2.9365,9.6,5051558
3720,2.9407,9.7,5051798
3725,2.8723,9.7,5051880
3730,2.9163,9.7,5051965
3735,2.9345,9.7,5045792
3740,2.9366,9.7,5046096
3745,2.8721,9.7,5046383
3750,2.8784,9.7,5046647
3755,2.8184,9.8,5046976
3760,2.8899,9.8,5047267
3765,2.9032,9.8,5047581
3770,2.8916,9.8,5047864
3775,2.9015,9.8,5048183
3780,2.9951,9.8,5048463
3785,2.9405,9.8,5048759
3790,2.9166,9.8,5049056
3795,2.9685,9.9,5049326
3800,2.8664,9.9,5042963
3805,2.9478,9.9,5043202
3810,2.8405,9.9,5043444
3815,2.8567,9.9,5043633
3820,2.9219,9.9,5043882
3825,2.9475,9.9,5044084
3830,2.8382,10.0,5044383
3835,2.9742,10.0,5044673
3840,2.8864,10.0,5044969
3845,2.931,10.0,5045258
3850,2.7924,10.0,5045565
3855,2.9649,10.0,5045854
3860,2.8987,10.0,5046152
3865,2.872,10.0,5046390
3870,2.8917,10.1,5046668
3875,2.8144,10.1,5046934
3880,2.9309,10.1,5040990
3885,2.8936,10.1,5041258
3890,2.8928,10.1,5041549
3895,2.8826,10.1,5041804
3900,2.8089,10.1,5036462
3905,2.839,10.2,5036791
3910,3.0111,10.2,5037038
3915,2.9247,10.2,5037321
3920,2.7938,10.2,5037660
3925,2.8734,10.2,5037945
3930,2.878,10.2,5038246
3935,2.8984,10.2,5038538
3940,2.8606,10.2,5038849
3945,2.9025,10.3,5039126
3950,2.9173,10.3,5039388
3955,2.9863,10.3,5039630
3960,2.8996,10.3,5039916
3965,2.8598,10.3,5040194
3970,2.8916,10.3,5040470
3975,2.7692,10.3,5040772
3980,2.9091,10.3,5041046
3985,2.9548,10.4,5041334
3990,2.8431,10.4,5041618
3995,2.8297,10.4,5041906
4000,2.8736,10.4,5036331
4005,2.8333,10.4,5036688
4010,2.8609,10.4,5036928
4015,2.8505,10.4,5037217
4020,2.8776,10.5,5037534
4025,2.9107,10.5,5037816
4030,2.862,10.5,5038116
4035,2.9075,10.5,5038406
4040,2.8426,10.5,5038699
4045,2.9053,10.5,5038988
4050,2.8313,10.5,5039288
4055,2.8258,10.5,5039552
4060,2.9513,10.6,5039851
4065,2.8822,10.6,5040152
4070,2.9334,10.6,5040448
4075,2.8306,10.6,5040736
4080,2.8426,10.6,5041029
4085,2.9155,10.6,5041296
4090,2.8263,10.6,5041582
4095,2.8507,10.6,5041873
4100,2.8805,10.7,5036565
4105,2.7716,10.7,5036874
4110,2.8591,10.7,5037147
4115,2.866,10.7,5037417
4120,2.8735,10.7,5037735
4125,2.8429,10.7,5038028
4130,2.8625,10.7,5038311
4135,2.9831,10.8,5038604
4140,2.7524,10.8,5038867
4145,2.8545,10.8,5039129
4150,2.8563,10.8,5039415
4155,2.8506,10.8,5039706
4160,2.9644,10.8,5039974
4165,2.8332,10.8,5040231
4170,2.8474,10.8,5040522
4175,2.8318,10.9,5040807
4180,2.9821,10.9,5041110
4185,2.9671,10.9,5041383
4190,2.8582,10.9,5041666
4195,2.8909,10.9,5041951
4200,2.9227,10.9,5036525
4205,2.8319,10.9,5036837
4210,2.8867,11.0,5037119
4215,2.8082,11.0,5037380
4220,2.9065,11.0,5037654
4225,2.8652,11.0,5037908
4230,2.7982,11.0,5038162
4235,2.8868,11.0,5038457
4240,2.7478,11.0,5038748
4245,2.8449,11.0,5039007
4250,2.7901,11.1,5039315
4255,2.8149,11.1,5039588
4260,2.877,11.1,5039868
4265,2.8458,11.1,5040146
4270,2.8389,11.1,5040386
4275,2.8854,11.1,5040593
4280,2.8439,11.1,5040856
4285,2.8251,11.1,5041148
4290,2.9122,11.2,5041430
4295,2.8495,11.2,5041713
4300,2.7864,11.2,5036587
4305,2.8055,11.2,5036926
4310,2.8079,11.2,5037162
4315,2.825,11.2,5037452
4320,2.812,11.2,5037738
4325,2.8753,11.3,5038023
4330,2.8715,11.3,5038294
4335,2.8881,11.3,5038586
4340,2.824,11.3,5038878
4345,2.8597,11.3,5039151
4350,2.8174,11.3,5039439
4355,2.8735,11.3,5039631
4360,2.7849,11.3,5039948
4365,2.8419,11.4,5040234
4370,2.8217,11.4,5040518
4375,2.7488,11.4,5040802
4380,2.8378,11.4,5041040
4385,2.6972,11.4,5041318
4390,2.8942,11.4,5041589
4395,2.7747,11.4,5041874
4400,2.7885,11.4,5037111
4405,2.8433,11.5,5037413
4410,2.7944,11.5,5037667
4415,2.8736,11.5,5037930
4420,2.7826,11.5,5038203
4425,2.8304,11.5,5038482
4430,2.7982,11.5,5038753
